Cur. Name,Primary,Secondary
Murray State,#002144,#FBB034
NC-Asheville,#00205B,#FFFFFF
NC-Greensboro,#002654,#FFC72C
NC-Wilmington,#00827F,#00263A
NE-Omaha,#000000,#D71920
NJIT,#D31245,#000000
New Hampshire,#002B5C,#FFFFFF
New Haven,#002D72,#C5A900
New Orleans,#003087,#A2AAAD
Niagara,#582C83,#FFFFFF
Nicholls State,#C8102E,#A2AAAD
Norfolk State,#00573F,#C5A900
North Alabama,#46166B,#C5A900
North Carolina A&T,#00263E,#FDB927
North Carolina Central,#862633,#A2AAAD
North Dakota,#009639,#000000
North Florida,#00263A,#C5B783
Northeastern,#C8102E,#000000
Northern Arizona,#003466,#FFC72C
Northern Colorado,#003865,#FFC72C
Northern Iowa,#46166B,#FDB827
Northern Kentucky,#000000,#FFC72C
Northwestern State,#50247F,#F47920
Oakland,#000000,#C5B358
Oral Roberts,#002664,#DAA900
Pacific,#E35205,#000000
Pennsylvania,#95001A,#011F5B
Pepperdine,#00205B,#FF6900
Portland,#461E7D,#FFFFFF
Portland State,#154734,#FFFFFF
Prairie View,#582C83,#C5A900
Presbyterian,#002D72,#862633
Princeton,#E77500,#000000
Providence,#000000,#B1B3B3
Purdue-Fort Wayne,#003087,#FFFFFF
Queens,#002D62,#C5A900
Quinnipiac,#002D62,#B58500
Radford,#C8102E,#001A45
Rhode Island,#002B7F,#75B2DD
Richmond,#00263E,#990000
Rider,#76232F,#FFFFFF
Robert Morris,#14234B,#C8102E
SC-Upstate,#006637,#000000
SE Louisiana,#006341,#C5A900
SE Missouri State,#C8102E,#000000
SIU-Edwardsville,#E5092B,#000000
Sacred Heart,#CE1126,#000000
Saint Louis,#0033A0,#FFFFFF
Samford,#C8102E,#002D62
San Diego,#00254C,#75B2DD
San Francisco,#00543C,#FDBB30
Santa Clara,#862633,#FFFFFF
Seattle,#C8102E,#000000
Seton Hall,#003366,#FFFFFF
Siena,#00583D,#FBB117
South Carolina State,#862633,#00263E
South Dakota,#C8102E,#000000
South Dakota State,#0033A0,#FFD200
Southern,#00417E,#FFB81C
Southern Illinois,#660000,#FFFFFF
Southern Indiana,#C8102E,#00205B
Southern Utah,#BA0C2F,#000000
St. Bonaventure,#4F2C1D,#B7472A
St. Francis (PA),#C8102E,#000000
St. John's,#C8102E,#000000
St. Joseph's,#9E1B34,#A2AAAD
St. Mary's,#06315B,#C8102E
St. Peter's,#003594,#FFFFFF
St. Thomas,#592C82,#A2AAAD
Stephen F. Austin,#3C1053,#FFFFFF
Stetson,#00573F,#FFFFFF
Stonehill,#582C83,#FFFFFF
Stony Brook,#990000,#A2AAAD
Tarleton State,#582C83,#FFFFFF
Tennessee State,#0033A0,#FFFFFF
Tennessee Tech,#582C83,#C5A900
Texas A&M-Corpus Christi,#0067A0,#00843D
Texas Southern,#5E1414,#A2AAAD
Texas-Arlington,#00205B,#F58025
Texas-Rio Grande Valley,#FF5C00,#00573F
Towson,#000000,#FFB81C
UC Davis,#022851,#FFBF00
UC Irvine,#003DA5,#FFD200
UC Riverside,#00205B,#FFB81C
UC San Diego,#182B49,#FFCD00
UC Santa Barbara,#003660,#FEBC11
UMKC,#00204E,#C5A900
UT-Chattanooga,#00264C,#E0AA0F
UT-Martin,#002D72,#E87722
Utah Tech,#BA1C21,#000000
Utah Valley,#0B6E4F,#000000
VMI,#C8102E,#FDD023
Valparaiso,#532E1F,#C8A85B
Vermont,#095540,#FFB81C
Villanova,#002664,#00205B
Virginia Commonwealth,#000000,#F8B800
Wagner,#006341,#FFFFFF
Weber State,#582C83,#FFFFFF
West Georgia,#002B5C,#C8102E
Western Carolina,#592C82,#C5A900
Western Illinois,#582C83,#C5A900
Wichita State,#000000,#FFC82E
William & Mary,#115740,#B9975B
Winthrop,#862633,#C5A900
Wisconsin-Green Bay,#00573F,#FFFFFF
Wisconsin-Milwaukee,#000000,#FFC72C
Wofford,#000000,#B0985E
Wright State,#006A4D,#C5A900
Xavier,#0C2340,#9EA2A2
Yale,#00356B,#FFFFFF
Youngstown State,#C8102E,#FFFFFF
CCNY,#582C83,#000000
NYU,#57068C,#FFFFFF
Chicago,#800000,#FFFFFF
Carnegie Mellon,#941120,#000000
Case Western Reserve,#003071,#A2AAAD
MIT,#A31F34,#8A8B8C
Catholic,#C8102E,#000000
DePauw,#000000,#C5A900
Denison,#C8102E,#FFFFFF
Oberlin,#C8102E,#FFC72C
Springfield,#800000,#FFFFFF
Washington University,#A51417,#00594C
Williams,#4E2A84,#FFFFFF
Tufts,#4E2E1E,#418FDE
Wabash,#C8102E,#FFFFFF
Swarthmore,#862633,#FFFFFF
Rochester,#0F4D92,#FFD100
RPI,#D6001C,#000000
Gettysburg,#F47C20,#00205B
Hamline,#C8102E,#6F7271
Wooster,#000000,#FDB927
Centenary,#862633,#FFFFFF
Oklahoma City,#003DA5,#FFFFFF
Loyola (LA),#862633,#00205B
Trinity (CT),#002F6C,#FFD100
Amherst,#582C83,#FFFFFF
Wesleyan,#A6093D,#000000
Hope,#FF6A13,#00263A
DePauw,#000000,#C5A900
