team,league,value_usd_m,year,source,source_url,method,confidence,notes
Brighton & Hove Albion,Premier League,860,2025,"The World's Most Valuable Soccer Teams 2025 (Forbes)",https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,"Forbes global soccer valuation ranking."
Fulham,Premier League,850,2025,"The World's Most Valuable Soccer Teams 2025 (Forbes)",https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,"Forbes global soccer valuation ranking."
AS Roma,Serie A,810,2025,"The World's Most Valuable Soccer Teams 2025 (Forbes)",https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,"Forbes global soccer valuation ranking."
Crystal Palace,Premier League,790,2025,"The World's Most Valuable Soccer Teams 2025 (Forbes)",https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,"Forbes global soccer valuation ranking."
Eintracht Frankfurt,Bundesliga,1056,2025,"Football Clubs' Valuation: The European Elite 2025 (Football Benchmark)",https://footballbenchmark.com/documents/d/guest/football-benchmark-the-european-elite-2025,published,high,"Enterprise value EUR978m, converted at ~1.08 EUR/USD (2025 average)."
AFC Ajax,Eredivisie,579,2025,"Football Clubs' Valuation: The European Elite 2025 (Football Benchmark)",https://footballbenchmark.com/documents/d/guest/football-benchmark-the-european-elite-2025,published,high,"Enterprise value EUR536m, converted at ~1.08 EUR/USD (2025 average)."
PSV Eindhoven,Eredivisie,534,2025,"Football Clubs' Valuation: The European Elite 2025 (Football Benchmark)",https://footballbenchmark.com/documents/d/guest/football-benchmark-the-european-elite-2025,published,high,"Enterprise value EUR494m, converted at ~1.08 EUR/USD (2025 average)."
Real Sociedad,La Liga,571,2025,"Football Clubs' Valuation: The European Elite 2025 (Football Benchmark)",https://footballbenchmark.com/documents/d/guest/football-benchmark-the-european-elite-2025,published,high,"Enterprise value EUR529m, converted at ~1.08 EUR/USD (2025 average)."
Sevilla FC,La Liga,564,2025,"Football Clubs' Valuation: The European Elite 2025 (Football Benchmark)",https://footballbenchmark.com/documents/d/guest/football-benchmark-the-european-elite-2025,published,high,"Enterprise value EUR522m, converted at ~1.08 EUR/USD (2025 average)."
ACF Fiorentina,Serie A,548,2025,"Football Clubs' Valuation: The European Elite 2025 (Football Benchmark)",https://footballbenchmark.com/documents/d/guest/football-benchmark-the-european-elite-2025,published,high,"Enterprise value EUR507m, converted at ~1.08 EUR/USD (2025 average)."
Real Betis,La Liga,510,2025,"Football Clubs' Valuation: The European Elite 2025 (Football Benchmark)",https://footballbenchmark.com/documents/d/guest/football-benchmark-the-european-elite-2025,published,high,"Enterprise value EUR472m, converted at ~1.08 EUR/USD (2025 average)."
Flamengo,Brasileirao Serie A,944,2025,"Flamengo Crosses The R$5 Billion Line As Brazil's Club Valuations Surge (Rio Times, citing Sports Value Valuation Top 30 Clubs in Brazil)",https://www.riotimesonline.com/flamengo-crosses-the-r5-billion-line-as-brazils-club-valuations-surge/,published,high,"R$5.096bn, converted at the article's own implied rate of ~5.4 BRL/USD (2025 average)."
Palmeiras,Brasileirao Serie A,814,2025,"Flamengo Crosses The R$5 Billion Line As Brazil's Club Valuations Surge (Rio Times, citing Sports Value)",https://www.riotimesonline.com/flamengo-crosses-the-r5-billion-line-as-brazils-club-valuations-surge/,published,high,"R$4.395bn, converted at ~5.4 BRL/USD (2025 average)."
Corinthians,Brasileirao Serie A,735,2025,"Flamengo Crosses The R$5 Billion Line As Brazil's Club Valuations Surge (Rio Times, citing Sports Value)",https://www.riotimesonline.com/flamengo-crosses-the-r5-billion-line-as-brazils-club-valuations-surge/,published,high,"R$3.971bn, converted at ~5.4 BRL/USD (2025 average)."
Botafogo,Brasileirao Serie A,556,2025,"Flamengo Crosses The R$5 Billion Line As Brazil's Club Valuations Surge (Rio Times, citing Sports Value)",https://www.riotimesonline.com/flamengo-crosses-the-r5-billion-line-as-brazils-club-valuations-surge/,published,high,"R$3.0bn, converted at ~5.4 BRL/USD (2025 average)."
Cruzeiro,Brasileirao Serie A,524,2025,"Flamengo Crosses The R$5 Billion Line As Brazil's Club Valuations Surge (Rio Times, citing Sports Value)",https://www.riotimesonline.com/flamengo-crosses-the-r5-billion-line-as-brazils-club-valuations-surge/,published,high,"R$2.831bn, converted at ~5.4 BRL/USD (2025 average)."
Royal Challengers Bengaluru,IPL,269,2025,"IPL valuation leaps 12.9% to US$18.5bn (SportsPro, citing Houlihan Lokey IPL Valuation Study 2025)",https://www.sportspro.com/news/ipl-valuation-teams-franchises-rcb-mumabi-indians-chennai-super-kings-july-2025/,published,high,"Houlihan Lokey brand value, most valuable IPL franchise 2025. USD figure, no FX conversion needed."
Mumbai Indians,IPL,242,2025,"IPL valuation leaps 12.9% to US$18.5bn (SportsPro, citing Houlihan Lokey)",https://www.sportspro.com/news/ipl-valuation-teams-franchises-rcb-mumabi-indians-chennai-super-kings-july-2025/,published,high,"Houlihan Lokey IPL Valuation Study 2025 brand value."
Chennai Super Kings,IPL,235,2025,"IPL valuation leaps 12.9% to US$18.5bn (SportsPro, citing Houlihan Lokey)",https://www.sportspro.com/news/ipl-valuation-teams-franchises-rcb-mumabi-indians-chennai-super-kings-july-2025/,published,high,"Houlihan Lokey IPL Valuation Study 2025 brand value."
Kolkata Knight Riders,IPL,227,2025,"IPL valuation leaps 12.9% to US$18.5bn (SportsPro, citing Houlihan Lokey)",https://www.sportspro.com/news/ipl-valuation-teams-franchises-rcb-mumabi-indians-chennai-super-kings-july-2025/,published,high,"Houlihan Lokey IPL Valuation Study 2025 brand value."
Sunrisers Hyderabad,IPL,154,2025,"IPL valuation leaps 12.9% to US$18.5bn (SportsPro, citing Houlihan Lokey)",https://www.sportspro.com/news/ipl-valuation-teams-franchises-rcb-mumabi-indians-chennai-super-kings-july-2025/,published,high,"Houlihan Lokey IPL Valuation Study 2025 brand value."
Punjab Kings,IPL,141,2025,"IPL valuation leaps 12.9% to US$18.5bn (SportsPro, citing Houlihan Lokey)",https://www.sportspro.com/news/ipl-valuation-teams-franchises-rcb-mumabi-indians-chennai-super-kings-july-2025/,published,high,"Houlihan Lokey IPL Valuation Study 2025 brand value; article specifically noted as highest YoY growth. Delhi Capitals, Gujarat Titans, Lucknow Super Giants and Rajasthan Royals were in the same 2025 Houlihan Lokey study but their individual figures were not surfaced in the source fetched (2 fetch attempts made on this topic); left out rather than estimated."
Ohio State,College football / College basketball (athletic dept.),1318,2024,"CNBC's Official College Sports Valuations 2025: Top 75 athletic programs",https://www.nbcdfw.com/news/sports/most-valuable-college-athletic-programs/3723518/,published,medium,"UNIT = WHOLE ATHLETIC DEPARTMENT, not football or basketball alone - applies to both the college football and college basketball rows in league_revenue_anchor.csv for this school. CNBC/Michael Ozanian methodology: revenue x 4 multiple, adjusted for TV deals, alumni engagement, NIL. #1 program."
Texas,College football / College basketball (athletic dept.),1281,2024,"CNBC's Official College Sports Valuations 2025: Top 75 athletic programs",https://www.nbcdfw.com/news/sports/most-valuable-college-athletic-programs/3723518/,published,medium,"Whole athletic department valuation (CNBC/Ozanian model, revenue x4 multiple adjusted)."
Texas A&M,College football / College basketball (athletic dept.),1264,2024,"CNBC's Official College Sports Valuations 2025: Top 75 athletic programs",https://www.nbcdfw.com/news/sports/most-valuable-college-athletic-programs/3723518/,published,medium,"Whole athletic department valuation (CNBC/Ozanian model)."
Michigan,College football / College basketball (athletic dept.),1062,2024,"CNBC's Official College Sports Valuations 2025: Top 75 athletic programs",https://www.nbcdfw.com/news/sports/most-valuable-college-athletic-programs/3723518/,published,medium,"Whole athletic department valuation (CNBC/Ozanian model)."
Alabama,College football / College basketball (athletic dept.),978,2024,"CNBC's Official College Sports Valuations 2025: Top 75 athletic programs",https://www.nbcdfw.com/news/sports/most-valuable-college-athletic-programs/3723518/,published,medium,"Whole athletic department valuation (CNBC/Ozanian model)."
Notre Dame,College football / College basketball (athletic dept.),969,2024,"CNBC's Official College Sports Valuations 2025: Top 75 athletic programs",https://www.nbcdfw.com/news/sports/most-valuable-college-athletic-programs/3723518/,published,medium,"Whole athletic department valuation (CNBC/Ozanian model); relevant to the 'FBS Power 4 + Notre Dame' football revenue row."
Georgia,College football / College basketball (athletic dept.),950,2024,"CNBC's Official College Sports Valuations 2025: Top 75 athletic programs",https://www.nbcdfw.com/news/sports/most-valuable-college-athletic-programs/3723518/,published,medium,"Whole athletic department valuation (CNBC/Ozanian model)."
Nebraska,College football / College basketball (athletic dept.),943,2024,"CNBC's Official College Sports Valuations 2025: Top 75 athletic programs",https://www.nbcdfw.com/news/sports/most-valuable-college-athletic-programs/3723518/,published,medium,"Whole athletic department valuation (CNBC/Ozanian model)."
Tennessee,College football / College basketball (athletic dept.),940,2024,"CNBC's Official College Sports Valuations 2025: Top 75 athletic programs",https://www.nbcdfw.com/news/sports/most-valuable-college-athletic-programs/3723518/,published,medium,"Whole athletic department valuation (CNBC/Ozanian model)."
Oklahoma,College football / College basketball (athletic dept.),928,2024,"CNBC's Official College Sports Valuations 2025: Top 75 athletic programs",https://www.nbcdfw.com/news/sports/most-valuable-college-athletic-programs/3723518/,published,medium,"Whole athletic department valuation (CNBC/Ozanian model)."
Penn State,College football / College basketball (athletic dept.),924,2024,"CNBC's Official College Sports Valuations 2025: Top 75 athletic programs",https://www.nbcdfw.com/news/sports/most-valuable-college-athletic-programs/3723518/,published,medium,"Whole athletic department valuation (CNBC/Ozanian model)."
USC,College football / College basketball (athletic dept.),923,2024,"CNBC's Official College Sports Valuations 2025: Top 75 athletic programs",https://www.nbcdfw.com/news/sports/most-valuable-college-athletic-programs/3723518/,published,medium,"Whole athletic department valuation (CNBC/Ozanian model)."
LSU,College football / College basketball (athletic dept.),916,2024,"CNBC's Official College Sports Valuations 2025: Top 75 athletic programs",https://www.nbcdfw.com/news/sports/most-valuable-college-athletic-programs/3723518/,published,medium,"Whole athletic department valuation (CNBC/Ozanian model). Full ranking covers 75 programs down to ~$150m; only the top 13 were surfaced in the source fetched (fetch of the primary CNBC.com URL failed twice with a 403 error before this NBC-affiliate mirror succeeded)."
Wrexham AFC,EFL Championship,475,2025,"Wrexham Looking to Sell Stake at 19,000% Valuation Growth: Report (Front Office Sports, citing Bloomberg)",https://frontofficesports.com/wrexham-sale-valuation-growth-475-million/,transaction,medium,"Reported June 2025 (Bloomberg) implied club valuation as Wrexham sought new investment; the specific stake percentage on offer was not disclosed in the source, so this is a headline deal valuation rather than a precisely back-calculated stake-price x (1/stake%) figure. USD reported directly."
Ipswich Town,EFL Championship,445,2025,"Ipswich Town ownership restructured at reported £350m valuation (ipswich.co.uk)",https://www.ipswich.co.uk/ipswich-town-ownership-restructured-at-reported-350m-valuation/,transaction,medium,"December 2025 ownership restructure (new investment from Three Lions fund and Clara Vista Partners alongside existing ~40% Avenue Sports/Bright Path stake from March 2024 and Ed Sheeran's 1.4% stake from August 2024) implied a reported GBP350m valuation, unconfirmed officially by the club; Bloomberg separately cited an alternative enterprise value of GBP375m (or GBP325m without Premier League promotion). GBP350m converted at ~1.27 GBP/USD (2025 average) = ~$445m. Wide uncertainty band given the GBP325-375m alternative range and lack of club confirmation."
Delhi Capitals,IPL,152,2025,"IPL valuation reaches $18.5 billion; RCB emerges as top franchise (BestMediaInfo, citing Houlihan Lokey IPL Valuation Study 2025)",https://bestmediainfo.com/insights/ipl-valuation-reaches-185-billion-rcb-emerges-as-top-franchise-9473828,published,high,"Houlihan Lokey IPL Valuation Study 2025 brand value. Completes the 10-team IPL set (6 of 10 were in valuations_extended.csv; these 4 close the gap)."
Rajasthan Royals,IPL,146,2025,"IPL valuation reaches $18.5 billion; RCB emerges as top franchise (BestMediaInfo, citing Houlihan Lokey IPL Valuation Study 2025)",https://bestmediainfo.com/insights/ipl-valuation-reaches-185-billion-rcb-emerges-as-top-franchise-9473828,published,high,"Houlihan Lokey IPL Valuation Study 2025 brand value."
Gujarat Titans,IPL,142,2025,"IPL valuation reaches $18.5 billion; RCB emerges as top franchise (BestMediaInfo, citing Houlihan Lokey IPL Valuation Study 2025)",https://bestmediainfo.com/insights/ipl-valuation-reaches-185-billion-rcb-emerges-as-top-franchise-9473828,published,high,"Houlihan Lokey IPL Valuation Study 2025 brand value."
Lucknow Super Giants,IPL,122,2025,"IPL valuation reaches $18.5 billion; RCB emerges as top franchise (BestMediaInfo, citing Houlihan Lokey IPL Valuation Study 2025)",https://bestmediainfo.com/insights/ipl-valuation-reaches-185-billion-rcb-emerges-as-top-franchise-9473828,published,high,"Houlihan Lokey IPL Valuation Study 2025 brand value; highest YoY brand growth of any franchise per the article (+34%)."
Celtic,Scottish Premiership,216,2026,"Celtic (CCP.L) - Market capitalization (companiesmarketcap.com, sourced from London Stock Exchange listing)",https://companiesmarketcap.com/gbp/celtic/marketcap/,published,high,"Celtic plc market cap = GBP170m as of September 2026 (publicly listed on AIM/LSE, so this is an observable, real-time market valuation, not a modeled estimate). Converted at ~1.27 GBP/USD."
Rangers FC,Scottish Premiership,190,2025,"49ers Enterprises Completes Rangers FC Takeover (Sportico); deal valuation per Ibrox Noise",https://www.sportico.com/leagues/soccer/2025/49ers-enterprises-rangers-fc-scotland-ownership-1234854464/,transaction,medium,"49ers Enterprises-led consortium (Andrew Cavenagh) acquired a 51% majority stake, completed May 2025, at a deal reported to value the club at approximately GBP150m (Ibrox Noise), separate from a pledged GBP20m further investment in the squad/infrastructure. GBP150m converted at ~1.27 GBP/USD = ~$190m. The Sportico article itself confirmed the 51% stake and deal completion but not the price; the GBP150m figure comes from Scottish football press (Ibrox Noise) reporting on the same deal, not from Sportico directly - flagged as medium confidence given the two-source construction."
Everton,Premier League,1270,2026,"The Friedkins acquisition & restructuring of Everton Football Club (theesk.org / Paul Quinn), relaying reporting on the Friedkin Group's internal valuation via goodisonnews.com / Mark Douglas, The i Paper",https://www.goodisonnews.com/finance/what-friedkin-group-now-plan-next-at-everton-as-new-valuation-shared,transaction,low,"VERIFICATION NOTE (per coordinator's instruction): an external claim that Everton is worth 'about $850M-1.0B, Friedkin acquisition' does NOT match the original reporting located. The actual reporting (Mark Douglas/The i Paper, via goodisonnews.com, published September 2026) states the Friedkin Group values Everton at approximately GBP1 billion (~$1,270m at ~1.27 GBP/USD) - notably higher than the external claim, and citing West Ham's rejected GBP800m bid for the club (when West Ham were still in the Premier League) as a reference point. Crucially, this is NOT a completed transaction or an independent valuation - it is the Friedkins' own internal figure, used as the pricing basis for a still-pending MINORITY stake sale, so it should be treated as a related party's self-interested number, not a market-clearing price. The Friedkin Group's original 2024 Everton acquisition price (~GBP400-500m reported at the time) is a separate, lower, and more independently-verified figure not used here."
Queretaro FC,Liga MX,120,2025,"Liga MX Team Querétaro Sells For More Than $120 Million To American-Led Group (Forbes)",https://www.forbes.com/sites/brettknight/2025/07/11/liga-mx-queretaro-sale-marc-spiegel/,transaction,medium,"Sale to an Innovatio Capital-led (Marc Spiegel) group from Jorgealberto Hank Inzunza/Grupo Caliente, closed July 10 2025; reported as 'more than $120 million' and described by a source as roughly 5x 2024-25 revenue. Appears to be a full/controlling acquisition, though the exact stake percentage was not disclosed in the source. USD reported directly, no FX conversion needed."
