company_key,from_year,to_year,city,state,country,confidence,note
fortune brands,1988,1995,Old Greenwich,Connecticut,United States,certain,"American Brands moved corporate headquarters to Old Greenwich in 1987-1988 (renamed Fortune Brands in 1997)."
ralston purina,1955,2001,St. Louis,Missouri,United States,certain,"Ralston Purina was continuously headquartered at Checkerboard Square in St. Louis until acquired by Nestle in 2001."
union carbide,1955,1982,New York City,New York,United States,certain,"Union Carbide was based at 270 Park Avenue in NYC until moving to Connecticut in 1982."
union carbide,1983,2001,Danbury,Connecticut,United States,certain,"Moved to its corporate center in Danbury in 1982-1983 until acquired by Dow in 2001."
bethlehem steel,1955,2003,Bethlehem,Pennsylvania,United States,certain,"Bethlehem Steel was continuously headquartered in Bethlehem, PA (at Martin Tower from 1972) until bankruptcy."
mcdonnell douglas,1955,1997,St. Louis,Missouri,United States,certain,"McDonnell Aircraft (merged with Douglas in 1967) was headquartered adjacent to Lambert Field in St. Louis/Berkeley."
bestfoods,1955,1967,New York City,New York,United States,certain,"Corn Products Refining / Bestfoods was based in New York City (717 Fifth Ave) until 1968."
bestfoods,1968,2000,Englewood Cliffs,New Jersey,United States,certain,"CPC International / Bestfoods moved to Englewood Cliffs in 1968 until acquired by Unilever in 2000."
itt industries,1956,1997,New York City,New York,United States,certain,"ITT was headquartered at 320 Park Ave / 1330 Ave of Americas in NYC until the 1997 split."
itt industries,1998,2006,White Plains,New York,United States,certain,"ITT Industries operated from White Plains until moving to Stamford in 2007."
kraft,1955,1971,New York City,New York,United States,certain,"National Dairy Products Corp (renamed Kraftco 1969, Kraft 1976) was based in NYC until 1972."
kraft,1972,1988,Glenview,Illinois,United States,certain,"Kraftco moved corporate headquarters to suburban Glenview, Illinois in 1972."
unocal,1955,1995,Los Angeles,California,United States,certain,"Union Oil Company of California (Unocal) was based at Union Oil Center in downtown Los Angeles."
unocal,1996,2005,El Segundo,California,United States,certain,"Unocal moved its corporate headquarters to El Segundo in 1996 until acquired by Chevron in 2005."
georgia pacific,1955,1981,Portland,Oregon,United States,certain,"Georgia-Pacific was headquartered in Portland, Oregon from 1954 until moving south in 1982."
georgia pacific,1982,2005,Atlanta,Georgia,United States,certain,"Relocated corporate headquarters to downtown Atlanta (Georgia-Pacific Tower) in 1982."
general foods,1955,1982,White Plains,New York,United States,certain,"General Foods moved from NYC to its prominent campus in White Plains, NY in 1954."
general foods,1983,1986,Rye Brook,New York,United States,certain,"Moved to its newly constructed headquarters in Rye Brook, NY in 1983 until acquired by Philip Morris."
sperry,1955,1986,New York City,New York,United States,certain,"Sperry Rand / Sperry Corporation was headquartered at 1290 Avenue of the Americas in NYC until the 1986 Unisys merger."
armco,1955,1994,Middletown,Ohio,United States,certain,"American Rolling Mill Co. (Armco) was headquartered in Middletown, Ohio."
armco,1995,1999,Pittsburgh,Pennsylvania,United States,certain,"Armco relocated executive offices to Pittsburgh in the mid-1990s prior to the 1999 AK Steel merger."
firestone tire and rubber,1955,1986,Akron,Ohio,United States,certain,"Firestone Tire & Rubber was headquartered in Akron, Ohio until moving to Chicago."
firestone tire and rubber,1987,1988,Chicago,Illinois,United States,certain,"Firestone moved its executive offices to Chicago in 1987 shortly before being acquired by Bridgestone."
citgo petroleum,1955,1969,New York City,New York,United States,certain,"Cities Service Company (Citgo) was headquartered at 70 Pine Street in New York City."
citgo petroleum,1970,1994,Tulsa,Oklahoma,United States,certain,"Cities Service relocated corporate headquarters to Tulsa, Oklahoma in 1970; remained there through 1994."
honeywell,1955,1995,Minneapolis,Minnesota,United States,certain,"Minneapolis-Honeywell Regulator Co. / Honeywell Inc. was headquartered in Minneapolis throughout this span."
gulf oil,1955,1984,Pittsburgh,Pennsylvania,United States,certain,"Gulf Oil was headquartered at the Gulf Tower in Pittsburgh until acquired by Chevron in 1984."
at and t technologies,1955,1983,New York City,New York,United States,certain,"Western Electric (manufacturing arm of AT&T, renamed AT&T Technologies in 1984) was based at 222 Broadway in NYC."
at and t technologies,1984,1984,Berkeley Heights,New Jersey,United States,probable,"AT&T Technologies consolidated headquarters operations in New Jersey during the 1984 Bell System divestiture."
conoco,1955,1969,Houston,Texas,United States,certain,"Continental Oil Co. (Conoco) had executive headquarters in Houston/Ponca City during this period."
conoco,1970,1985,Stamford,Connecticut,United States,certain,"Conoco relocated its corporate headquarters to Stamford, Connecticut in 1969-1970."
conoco,1986,2002,Houston,Texas,United States,certain,"Under DuPont ownership and post-spinoff, Conoco was headquartered in Houston until the 2002 Phillips merger."
tenneco automotive,1966,1995,Houston,Texas,United States,certain,"Tenneco Inc. (originally Tennessee Gas Transmission) was based in the Tenneco Building in Houston."
tenneco automotive,1996,1999,Greenwich,Connecticut,United States,certain,"Following conglomerate restructuring, Tenneco executive offices were located in Greenwich, CT."
tenneco automotive,2000,2005,Lake Forest,Illinois,United States,certain,"Tenneco Automotive spun off as an independent automotive supplier headquartered in Lake Forest, IL."
continental group,1955,1977,New York City,New York,United States,certain,"Continental Can Company was headquartered at 633 Third Avenue in New York City."
continental group,1978,1984,Stamford,Connecticut,United States,certain,"Renamed The Continental Group in 1976 and relocated headquarters to Stamford, CT in 1978."
litton industries,1959,2001,Beverly Hills,California,United States,certain,"Litton Industries was continuously headquartered in Beverly Hills, California until acquired by Northrop Grumman."
raytheon,1955,1995,Lexington,Massachusetts,United States,certain,"Raytheon was headquartered in Waltham/Lexington, MA (141 Spring St, Lexington from 1961) across this era."
american can,1955,1969,New York City,New York,United States,certain,"American Can Company was based at 100 Park Avenue in New York City."
american can,1970,1986,Greenwich,Connecticut,United States,certain,"Moved to a suburban campus in Greenwich, CT in 1970; later transformed into Primerica."
bendix,1955,1967,Detroit,Michigan,United States,certain,"Bendix Corporation maintained executive headquarters in the Fisher Building in Detroit."
bendix,1968,1983,Southfield,Michigan,United States,certain,"Moved corporate headquarters to the Bendix Center in Southfield, MI until acquired by Allied Corp."
u s steel,1955,1982,Pittsburgh,Pennsylvania,United States,certain,"U.S. Steel maintained primary executive offices at 525 William Penn Place and the U.S. Steel Tower in Pittsburgh."
esmark,1955,1984,Chicago,Illinois,United States,certain,"Meatpacker Swift & Co. reorganized as holding company Esmark in 1973; remained in Chicago until 1984 buyout."
rca,1955,1982,New York City,New York,United States,certain,"Radio Corporation of America (RCA) was headquartered at 30 Rockefeller Plaza in New York City."
republic steel,1955,1984,Cleveland,Ohio,United States,certain,"Republic Steel was headquartered in Cleveland (Republic Building) until merging into LTV Steel in 1984."
national intergroup,1955,1985,Pittsburgh,Pennsylvania,United States,certain,"National Steel (renamed National Intergroup in 1983) was headquartered in Pittsburgh, PA."
trw,1955,1984,Euclid,Ohio,United States,certain,"Thompson Products / TRW was based in Euclid/Cleveland, Ohio."
trw,1985,2002,Lyndhurst,Ohio,United States,certain,"TRW moved to its corporate campus in Lyndhurst, Ohio in 1985 until acquired by Northrop Grumman."
owens illinois,1955,1995,Toledo,Ohio,United States,certain,"Owens-Illinois was continuously headquartered in Toledo, Ohio (One SeaGate from 1982) across this span."
xerox,1963,1968,Rochester,New York,United States,certain,"Haloid Xerox / Xerox was headquartered in Rochester, NY until moving corporate offices to Connecticut."
xerox,1969,1995,Stamford,Connecticut,United States,certain,"Relocated corporate headquarters to Stamford, CT in 1969 (Long Ridge Rd); clipped to 1995."
ltv,1955,1992,Dallas,Texas,United States,certain,"Ling-Temco-Vought / LTV Corporation was headquartered in Dallas, Texas (LTV Tower)."
ltv,1993,2002,Cleveland,Ohio,United States,certain,"Following Chapter 11 reorganization and focus on LTV Steel, headquarters moved to Cleveland in 1993."
ncr,1955,1991,Dayton,Ohio,United States,certain,"National Cash Register (NCR) was headquartered in Dayton, Ohio until acquired by AT&T in 1991."
uniroyal,1955,1971,New York City,New York,United States,certain,"United States Rubber Company (renamed Uniroyal in 1961) was based at Rockefeller Center in NYC."
uniroyal,1972,1986,Middlebury,Connecticut,United States,certain,"Uniroyal moved to the Uniroyal World Headquarters complex in Middlebury/Oxford, CT in 1972."
beatrice,1955,1991,Chicago,Illinois,United States,certain,"Beatrice Foods / Beatrice Companies was headquartered in Chicago (2 N LaSalle St) until acquired by ConAgra."
champion international,1955,1966,Hamilton,Ohio,United States,certain,"Champion Paper & Fibre was based in Hamilton, Ohio prior to the 1967 merger with U.S. Plywood."
champion international,1967,1976,New York City,New York,United States,certain,"U.S. Plywood-Champion Papers was based at 777 Third Avenue in New York City."
champion international,1977,2000,Stamford,Connecticut,United States,certain,"Champion International moved headquarters to Stamford, CT in 1977 until acquired by International Paper."
bp america,1955,1988,Cleveland,Ohio,United States,certain,"Standard Oil of Ohio (Sohio, renamed BP America in 1987) was based at 200 Public Square in Cleveland."
amerada hess,1955,2006,New York City,New York,United States,certain,"Amerada Hess (formed 1969; Hess Oil previously in NJ/Amerada in NYC) was based at 1185 Ave of the Americas in NYC."
burlington industries equity,1955,1994,Greensboro,North Carolina,United States,certain,"Burlington Mills / Burlington Industries was continuously headquartered in Greensboro, North Carolina."
campbell soup,1955,1995,Camden,New Jersey,United States,certain,"Campbell Soup Company was continuously headquartered in Camden, New Jersey."
martin marietta,1955,1960,Baltimore,Maryland,United States,certain,"Glenn L. Martin Company was based in Middle River/Baltimore, Maryland prior to the 1961 Marietta merger."
martin marietta,1961,1975,New York City,New York,United States,certain,"Martin Marietta maintained executive headquarters at 277 Park Avenue in New York City."
martin marietta,1976,1995,Bethesda,Maryland,United States,certain,"Moved corporate headquarters to Bethesda, Maryland in 1976 until merging with Lockheed in 1995."
singer,1955,1978,New York City,New York,United States,certain,"Singer Manufacturing Co. was headquartered at 30 Rockefeller Plaza in New York City."
singer,1979,1988,Stamford,Connecticut,United States,certain,"Singer moved headquarters to Stamford, CT in 1979 until corporate breakup following 1988 Bilzerian takeover."
american motors,1955,1974,Detroit,Michigan,United States,certain,"AMC was headquartered at Plymouth Road in Detroit, Michigan."
american motors,1975,1987,Southfield,Michigan,United States,certain,"AMC moved to the American Center tower in Southfield, MI in 1975 until acquired by Chrysler in 1987."
signal companies,1958,1977,Los Angeles,California,United States,certain,"Signal Oil and Gas / The Signal Companies was headquartered in Los Angeles, California."
signal companies,1978,1985,La Jolla,California,United States,certain,"Signal Companies moved executive headquarters to La Jolla (San Diego), CA in 1978 until the 1985 Allied merger."
american cyanamid,1955,1961,New York City,New York,United States,certain,"American Cyanamid was based at 30 Rockefeller Plaza in New York City."
american cyanamid,1962,1994,Wayne,New Jersey,United States,certain,"American Cyanamid moved to its corporate campus in Wayne, NJ in 1962 until acquired by AHP in 1994."
reynolds metals,1955,1957,Louisville,Kentucky,United States,certain,"Reynolds Metals was based in Louisville, Kentucky before completing its Richmond move."
reynolds metals,1958,2000,Richmond,Virginia,United States,certain,"Reynolds Metals opened and occupied its landmark headquarters in Henrico County/Richmond, VA until acquired by Alcoa in 2000."
gulf and western industries,1966,1966,Houston,Texas,United States,certain,"Gulf and Western originated from Houston/Michigan operations prior to establishing NYC headquarters."
gulf and western industries,1967,1985,New York City,New York,United States,certain,"Gulf & Western established executive headquarters at 1 Gulf+Western Plaza (Columbus Circle) in NYC."
armour,1955,1970,Chicago,Illinois,United States,certain,"Armour and Company was headquartered in Chicago (Union Stock Yards / 401 N Wabash) until acquired by Greyhound in 1970."
anaconda,1955,1977,New York City,New York,United States,certain,"Anaconda Copper Mining Co. maintained executive headquarters at 25 Broadway in NYC until acquired by ARCO in 1977."
sinclair oil,1955,1969,New York City,New York,United States,certain,"Sinclair Oil Corporation was headquartered at 600 Fifth Avenue in NYC until merging into Atlantic Richfield in 1969."
getty oil,1968,1984,Los Angeles,California,United States,certain,"Getty Oil Company was headquartered at the Getty Oil Building (3810 Wilshire Blvd) in Los Angeles until acquired by Texaco."
digital equipment,1974,1998,Maynard,Massachusetts,United States,certain,"Digital Equipment Corporation (DEC) was headquartered in Maynard, MA (The Mill) until acquired by Compaq in 1998."
anheuser busch,1955,1995,St. Louis,Missouri,United States,certain,"Anheuser-Busch was continuously headquartered at One Busch Place in St. Louis, Missouri."
jones and laughlin steel,1955,1968,Pittsburgh,Pennsylvania,United States,certain,"Jones & Laughlin Steel Corporation was headquartered in Pittsburgh, PA (Gateway Center) until acquired by LTV."
coastal,1966,1973,Corpus Christi,Texas,United States,certain,"Coastal States Gas Producing Co. was headquartered in Corpus Christi, Texas."
coastal,1974,2000,Houston,Texas,United States,certain,"Coastal moved corporate headquarters to the Coastal Tower (Nine Greenway Plaza) in Houston in 1974 until acquired by El Paso."
general telephone and electronics,1960,1972,New York City,New York,United States,certain,"General Telephone & Electronics (GTE) was headquartered at 730 Third Avenue in New York City."
general telephone and electronics,1973,1974,Stamford,Connecticut,United States,certain,"GTE moved to its landmark One Stamford Forum headquarters in 1973; clipped to 1974 listed span."
hewlett packard,1962,1995,Palo Alto,California,United States,certain,"Hewlett-Packard was headquartered on Hanover Street / Page Mill Road in Palo Alto, California."
douglas aircraft,1955,1967,Santa Monica,California,United States,certain,"Douglas Aircraft was headquartered at Clover Field in Santa Monica, CA until the 1967 McDonnell merger."
greyhound,1971,1971,Chicago,Illinois,United States,certain,"Greyhound Corporation was based in Chicago before completing its relocation to Arizona in 1971."
greyhound,1972,1983,Phoenix,Arizona,United States,certain,"Greyhound Corporation moved its global corporate headquarters to Greyhound Tower in Phoenix in 1971."
wilson,1955,1967,Chicago,Illinois,United States,certain,"Wilson & Co., Inc. (meatpacker) was headquartered at Prudential Plaza in Chicago until acquired by LTV in 1967."
gencorp,1955,1983,Akron,Ohio,United States,certain,"General Tire & Rubber was headquartered in Akron, Ohio (renamed GenCorp in 1984)."
gencorp,1984,1998,Fairlawn,Ohio,United States,certain,"GenCorp was based in Fairlawn/Akron, OH before moving west."
gencorp,1999,2004,Rancho Cordova,California,United States,certain,"GenCorp relocated corporate headquarters to Rancho Cordova (Sacramento area), California in 1999."
chiquita brands intl,1968,1969,Boston,Massachusetts,United States,certain,"United Fruit Company was based in Boston, MA prior to forming United Brands in 1970."
chiquita brands intl,1970,1984,New York City,New York,United States,certain,"United Brands Company was headquartered at 1271 Avenue of the Americas in NYC."
chiquita brands intl,1985,1995,Cincinnati,Ohio,United States,certain,"Carl Lindner moved United Brands / Chiquita Brands International to Cincinnati, Ohio in 1984-1985."
nabisco brands,1955,1974,New York City,New York,United States,certain,"National Biscuit Company (Nabisco) was headquartered at 425 Park Avenue in New York City."
nabisco brands,1975,1985,East Hanover,New Jersey,United States,certain,"Nabisco moved corporate headquarters to East Hanover, NJ in 1975 until the RJR merger in 1985."
youngstown sheet and tube,1955,1969,Youngstown,Ohio,United States,certain,"Youngstown Sheet and Tube Company was headquartered in Youngstown, Ohio (Stambaugh Building) until Lykes acquisition in 1969."
tidewater oil,1955,1957,San Francisco,California,United States,certain,"Tidewater Oil Company maintained executive headquarters in San Francisco."
tidewater oil,1958,1967,Los Angeles,California,United States,certain,"J. Paul Getty relocated Tidewater Oil headquarters to the Tidewater Oil Building (Wilshire Blvd) in Los Angeles."
nl industries,1955,1985,New York City,New York,United States,certain,"National Lead Co. / NL Industries was headquartered at 111 Broadway and 1230 Ave of the Americas in NYC."
nl industries,1986,1993,Houston,Texas,United States,certain,"Following Harold Simmons's acquisition in 1986, NL Industries was relocated to Houston, Texas (later Dallas)."
sbc communications,1995,1997,St. Louis,Missouri,United States,certain,"Southwestern Bell Corporation was headquartered at One Bell Center in St. Louis until 1998."
sbc communications,1998,2005,San Antonio,Texas,United States,certain,"SBC Communications relocated corporate headquarters to San Antonio, Texas in 1998 (renamed AT&T in 2005)."
bellsouth,1995,2006,Atlanta,Georgia,United States,certain,"BellSouth Corporation was headquartered in Atlanta, Georgia (BellSouth Center) until acquired by AT&T in 2006."
allis chalmers,1955,1988,West Allis,Wisconsin,United States,certain,"Allis-Chalmers Manufacturing Co. was headquartered in West Allis (Milwaukee metro area), Wisconsin."
sprint,1995,2002,Westwood,Kansas,United States,certain,"Sprint Corporation executive headquarters was in Westwood, Kansas (Kansas City metro)."
sprint,2003,2005,Overland Park,Kansas,United States,certain,"Consolidated into the Sprint World Headquarters Campus in Overland Park, Kansas in 2003."
crown zellerbach,1955,1986,San Francisco,California,United States,certain,"Crown Zellerbach was headquartered at One Bush Street in San Francisco until Sir James Goldsmith's takeover in 1985-1986."
warner lambert,1955,2000,Morris Plains,New Jersey,United States,certain,"Warner-Lambert was headquartered at Tabor Road in Morris Plains, NJ until acquired by Pfizer in 2000."
sears roebuck and,1996,2005,Hoffman Estates,Illinois,United States,certain,"Sears moved from Sears Tower to Hoffman Estates, IL in 1992-1995; clipped to 1996-2005 listed span."
amax,1955,1973,New York City,New York,United States,certain,"American Metal Climax (AMAX) was headquartered at 1270 Avenue of the Americas in NYC."
amax,1974,1993,Greenwich,Connecticut,United States,certain,"AMAX relocated headquarters to Greenwich, CT in 1974 until merging with Cyprus Minerals in 1993."
pure oil,1955,1959,Chicago,Illinois,United States,certain,"The Pure Oil Company was headquartered at the Pure Oil Building (35 E Wacker Dr) in Chicago."
pure oil,1960,1965,Palatine,Illinois,United States,certain,"Pure Oil moved to a new suburban headquarters in Palatine, IL in 1960 until merging into Union Oil in 1965."
north american philips,1960,1993,New York City,New York,United States,certain,"North American Philips Corporation was headquartered at 100 E 42nd St in New York City."
j p stevens,1955,1988,New York City,New York,United States,certain,"J.P. Stevens & Co. maintained executive headquarters at 1185 Avenue of the Americas in NYC until 1988 acquisition."
morrell john,1955,1967,Chicago,Illinois,United States,certain,"John Morrell & Co. (meatpacker) was headquartered in Chicago (208 S LaSalle St) during this period."
compaq computer,1986,2002,Houston,Texas,United States,certain,"Compaq Computer Corporation was continuously headquartered on State Highway 249 in Houston (Harris County), TX."
whitman,1970,1992,Chicago,Illinois,United States,certain,"Illinois Central Industries (renamed Whitman in 1988) was based in downtown Chicago (One Illinois Center)."
whitman,1993,2000,Rolling Meadows,Illinois,United States,certain,"Whitman Corporation moved headquarters to suburban Rolling Meadows, IL in 1993."
american standard,1955,1987,New York City,New York,United States,certain,"American Radiator & Standard Sanitary / American Standard was based at 40 W 40th St in NYC."
american standard,1988,1995,Piscataway,New Jersey,United States,certain,"Following an LBO defense in 1988, American Standard relocated corporate headquarters to Piscataway, NJ."
kmart,1996,2003,Troy,Michigan,United States,certain,"Kmart Corporation was headquartered at 3100 W Big Beaver Rd in Troy, Michigan throughout this span."
kennecott,1955,1973,New York City,New York,United States,certain,"Kennecott Copper Corporation executive headquarters was located at 161 E 42nd St in NYC."
kennecott,1974,1981,Stamford,Connecticut,United States,certain,"Kennecott relocated corporate headquarters to Stamford, CT in 1974 until acquired by Sohio in 1981."
philip morris companies,1996,2002,New York City,New York,United States,certain,"Philip Morris Companies Inc. (renamed Altria) was headquartered at 120 Park Avenue in NYC (moved to Richmond in 2003)."
pillsbury,1955,1989,Minneapolis,Minnesota,United States,certain,"The Pillsbury Company was headquartered at Pillsbury Center in Minneapolis until acquired by Grand Metropolitan in 1989."
hanson industries na,1983,1987,Iselin,New Jersey,United States,certain,"Hanson Industries (US arm of Hanson Trust) was headquartered in Iselin (Woodbridge Township), NJ."
hanson industries na,1988,1994,New York City,New York,United States,certain,"Hanson Industries moved its primary US executive offices to 410 Park Avenue in New York City."
standard brands,1955,1981,New York City,New York,United States,certain,"Standard Brands was headquartered at 625 Madison Avenue in New York City until merging with Nabisco in 1981."
hoechst celanese,1982,1986,New York City,New York,United States,certain,"Celanese Corporation was headquartered at 1211 Avenue of the Americas in New York City."
hoechst celanese,1987,1994,Somerville,New Jersey,United States,certain,"Following the 1987 Celanese/American Hoechst merger, Hoechst Celanese was based in Somerville/Bridgewater, NJ."
dresser industries,1955,1998,Dallas,Texas,United States,certain,"Dresser Industries was headquartered in Dallas, Texas (Republic National Bank / Elm St) until merging with Halliburton in 1998."
quaker oats,1955,2001,Chicago,Illinois,United States,certain,"The Quaker Oats Company was headquartered in Chicago (Merchandise Mart / Quaker Tower) until acquired by PepsiCo in 2001."
enron,1995,2002,Houston,Texas,United States,certain,"Enron Corporation was headquartered at 1400 Smith Street in Houston, Texas throughout this span until bankruptcy."
prudential insurance of america,1996,2001,Newark,New Jersey,United States,certain,"Prudential Insurance Company of America was headquartered at Prudential Plaza in Newark, New Jersey."
gte,1995,1999,Stamford,Connecticut,United States,certain,"GTE Corporation was headquartered at One Stamford Forum in Stamford, Connecticut."
gte,2000,2000,Irving,Texas,United States,certain,"GTE moved its corporate headquarters to Irving, Texas in 1999-2000 immediately prior to the Bell Atlantic/Verizon merger."
usx,1996,2001,Pittsburgh,Pennsylvania,United States,certain,"USX Corporation (parent of U.S. Steel and Marathon Oil) was headquartered at the USX Tower in Pittsburgh, PA."
bank one,1995,1997,Columbus,Ohio,United States,certain,"Banc One Corporation was headquartered in Columbus, Ohio prior to the First Chicago NBD merger in 1998."
bank one,1998,2004,Chicago,Illinois,United States,certain,"Merged Bank One Corporation was headquartered at Bank One Plaza in Chicago until merging with JPMorgan Chase in 2004."
asarco,1955,1999,New York City,New York,United States,certain,"American Smelting and Refining Co. (ASARCO) was headquartered at 120 Broadway and 180 Maiden Lane in NYC."
farmland industries,1958,2004,Kansas City,Missouri,United States,certain,"Farmland Industries (agricultural cooperative) was headquartered in Kansas City, Missouri throughout this span."
bayer,1987,1994,Pittsburgh,Pennsylvania,United States,certain,"Bayer USA (holding company for US operations including Mobay) was headquartered in Pittsburgh, PA."
st regis,1955,1984,New York City,New York,United States,certain,"St. Regis Paper Company was headquartered at 150 E 42nd St and 237 Park Ave in NYC until acquired by Champion in 1984."
chase manhattan,1995,2000,New York City,New York,United States,certain,"Chase Manhattan Corporation (merged with Chemical Bank in 1996) was headquartered at 270 Park Ave in NYC."
bell atlantic,1996,1996,Philadelphia,Pennsylvania,United States,certain,"Bell Atlantic was headquartered at 1717 Arch Street in Philadelphia prior to merging with NYNEX."
bell atlantic,1997,2000,New York City,New York,United States,certain,"Following the 1997 NYNEX merger, Bell Atlantic established executive headquarters at 1095 Ave of the Americas in NYC."
american stores,1995,1999,Salt Lake City,Utah,United States,certain,"American Stores Company was headquartered at American Stores Tower in Salt Lake City until acquired by Albertsons in 1999."
unilever u s,1989,1993,New York City,New York,United States,certain,"Unilever United States Inc. (US holding company for Lever Brothers/Chesebrough-Pond's) was based at Lever House in NYC."
charter,1974,1984,Jacksonville,Florida,United States,certain,"The Charter Company (oil, insurance, communications conglomerate) was headquartered in Jacksonville, Florida."
apple computer,1983,1995,Cupertino,California,United States,certain,"Apple Computer was continuously headquartered on Bandley Drive and Infinite Loop in Cupertino, California."
grumman,1955,1994,Bethpage,New York,United States,certain,"Grumman Aircraft Engineering Corp. was headquartered in Bethpage (Long Island), NY until Northrop acquisition in 1994."
phillips petroleum,1996,2002,Bartlesville,Oklahoma,United States,certain,"Phillips Petroleum Company was headquartered in Bartlesville, Oklahoma until the 2002 ConocoPhillips merger."
ameritech,1995,1999,Chicago,Illinois,United States,certain,"Ameritech Corporation was headquartered at 30 S Wacker Drive in Chicago, Illinois until acquired by SBC in 1999."
foremost dairies,1955,1967,San Francisco,California,United States,certain,"Foremost Dairies (merged with McKesson & Robbins in 1967) was headquartered in San Francisco, California."
agway,1961,2003,DeWitt,New York,United States,certain,"Agway Inc. (agricultural cooperative) was headquartered in DeWitt (Syracuse metro area), New York."
citicorp,1995,1998,New York City,New York,United States,certain,"Citicorp was headquartered at Citicorp Center (399 Park Avenue) in New York City until merging into Citigroup in 1998."
ibp,1993,2001,Dakota Dunes,South Dakota,United States,certain,"IBP, Inc. was headquartered in Dakota Dunes, South Dakota from 1990 until acquired by Tyson Foods in 2001."
rapid american,1970,1973,New York City,New York,United States,certain,"Rapid-American Corporation (conglomerate led by Meshulam Riklis) was headquartered at 711 Fifth Avenue in NYC."
first union,1996,2001,Charlotte,North Carolina,United States,certain,"First Union Corporation was headquartered at One First Union Center in Charlotte, NC until the Wachovia merger in 2001."
