team,league,value_usd_m,year,source,source_url,method,confidence,notes
North Carolina,College football,333,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $63.3M sport revenue; Remaining ACC program, not in a higher football tier."
California,College football,336,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $64.0M sport revenue; Remaining ACC program, not in a higher football tier."
USC,College football,389,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $74.0M sport revenue; Remaining Big Ten program, not in a higher football tier."
Oklahoma,College football,1105,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 2, 8.75x on $126.2M sport revenue; Named T2 brand in the brief."
Auburn,College football,1062,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 2, 8.75x on $121.4M sport revenue; Top half of SEC by football revenue (rank 6 of 16)."
Vanderbilt,College football,232,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $44.1M sport revenue; Remaining SEC program, not in a higher football tier."
Texas Tech,College football,472,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 3, 6.75x on $69.9M sport revenue; Named T3 brand in the brief."
Tennessee,College football,1422,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 2, 8.75x on $162.5M sport revenue; Named T2 brand in the brief."
Clemson,College football,587,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 3, 6.75x on $86.9M sport revenue; Named T3 brand in the brief."
Florida State,College football,563,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 3, 6.75x on $83.5M sport revenue; Named T3 brand in the brief."
Nebraska,College football,1070,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 2, 8.75x on $122.3M sport revenue; Named T2 brand in the brief."
UCLA,College football,290,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $55.2M sport revenue; Remaining Big Ten program, not in a higher football tier."
Washington,College football,1059,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 2, 8.75x on $121.0M sport revenue; Top half of Big Ten by football revenue (rank 5 of 18)."
Colorado,College football,468,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 3, 6.75x on $69.3M sport revenue; Top third of Big 12 by football revenue (rank 3 of 16)."
BYU,College football,272,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $51.7M sport revenue; Remaining Big 12 program, not in a higher football tier."
Arkansas,College football,477,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $90.8M sport revenue; Remaining SEC program, not in a higher football tier."
Pittsburgh,College football,300,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $57.2M sport revenue; Remaining ACC program, not in a higher football tier."
Michigan State,College football,405,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $77.1M sport revenue; Remaining Big Ten program, not in a higher football tier."
SMU,College football,238,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $45.3M sport revenue; Remaining ACC program, not in a higher football tier."
Georgia Tech,College football,476,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 3, 6.75x on $70.5M sport revenue; Top third of ACC by football revenue (rank 5 of 17)."
Stanford,College football,189,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $36.0M sport revenue; Remaining ACC program, not in a higher football tier."
TCU,College football,402,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 3, 6.75x on $59.6M sport revenue; Named T3 brand in the brief."
South Carolina,College football,402,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $76.5M sport revenue; Remaining SEC program, not in a higher football tier."
Iowa,College football,920,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 2, 8.75x on $105.2M sport revenue; Top half of Big Ten by football revenue (rank 8 of 18)."
Utah,College football,648,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 3, 6.75x on $95.9M sport revenue; Named T3 brand in the brief."
Virginia Tech,College football,538,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 3, 6.75x on $79.7M sport revenue; Top third of ACC by football revenue (rank 4 of 17)."
Central Florida,College football,158,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $30.1M sport revenue; Remaining Big 12 program, not in a higher football tier."
Illinois,College football,462,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $87.9M sport revenue; Remaining Big Ten program, not in a higher football tier."
Oklahoma State,College football,385,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 3, 6.75x on $57.0M sport revenue; Top third of Big 12 by football revenue (rank 6 of 16)."
Northwestern,College football,449,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $85.6M sport revenue; Remaining Big Ten program, not in a higher football tier."
Virginia,College football,270,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $51.4M sport revenue; Remaining ACC program, not in a higher football tier."
Missouri,College football,280,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $53.3M sport revenue; Remaining SEC program, not in a higher football tier."
Wisconsin,College football,983,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 2, 8.75x on $112.3M sport revenue; Top half of Big Ten by football revenue (rank 7 of 18)."
Mississippi State,College football,197,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $37.6M sport revenue; Remaining SEC program, not in a higher football tier."
Iowa State,College football,410,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 3, 6.75x on $60.7M sport revenue; Top third of Big 12 by football revenue (rank 4 of 16)."
Cincinnati,College football,160,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $30.4M sport revenue; Remaining Big 12 program, not in a higher football tier."
Minnesota,College football,890,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 2, 8.75x on $101.7M sport revenue; Top half of Big Ten by football revenue (rank 9 of 18)."
Arizona State,College football,264,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $50.4M sport revenue; Remaining Big 12 program, not in a higher football tier."
Purdue,College football,437,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $83.1M sport revenue; Remaining Big Ten program, not in a higher football tier."
Duke,College football,354,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $67.4M sport revenue; Remaining ACC program, not in a higher football tier."
West Virginia,College football,250,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $47.6M sport revenue; Remaining Big 12 program, not in a higher football tier."
Rutgers,College football,399,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $75.9M sport revenue; Remaining Big Ten program, not in a higher football tier."
Kentucky,College football,227,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $43.3M sport revenue; Remaining SEC program, not in a higher football tier."
Louisville,College football,174,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $33.1M sport revenue; Remaining ACC program, not in a higher football tier."
Boise State Broncos football,College football,209,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 5, 3.75x on $55.7M sport revenue; Named T5 Group of 5 anchor brand in the brief."
Maryland,College football,331,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $63.1M sport revenue; Remaining Big Ten program, not in a higher football tier."
Syracuse,College football,339,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $64.6M sport revenue; Remaining ACC program, not in a higher football tier."
North Carolina State,College football,471,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 3, 6.75x on $69.8M sport revenue; Top third of ACC by football revenue (rank 6 of 17)."
Houston,College football,122,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $23.3M sport revenue; Remaining Big 12 program, not in a higher football tier."
UNLV Rebels football,College football,93,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 5, 3.75x on $24.7M sport revenue; Top two of Mountain West by football revenue (rank 2 of 6)."
Arizona,College football,198,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $37.8M sport revenue; Remaining Big 12 program, not in a higher football tier."
Boston College,College football,250,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $47.5M sport revenue; Remaining ACC program, not in a higher football tier."
Troy Trojans football,College football,25,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 6, 2.0x on $12.6M sport revenue; Group of 5 program outside the top two of its conference by football revenue."
Wake Forest,College football,207,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $39.4M sport revenue; Remaining ACC program, not in a higher football tier."
Kansas State,College football,142,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $27.1M sport revenue; Remaining Big 12 program, not in a higher football tier."
Memphis Tigers football,College football,83,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 5, 3.75x on $22.0M sport revenue; Named T5 Group of 5 anchor brand in the brief."
Baylor,College football,232,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $44.3M sport revenue; Remaining Big 12 program, not in a higher football tier."
Kansas,College football,195,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 4, 5.25x on $37.1M sport revenue; Remaining Big 12 program, not in a higher football tier."
Louisiana Ragin Cajuns football,College football,56,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 5, 3.75x on $14.8M sport revenue; Top two of Sun Belt by football revenue (rank 2 of 3)."
Fresno State Bulldogs football,College football,35,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 6, 2.0x on $17.7M sport revenue; Group of 5 program outside the top two of its conference by football revenue."
San Diego State Aztecs football,College football,49,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 6, 2.0x on $24.5M sport revenue; Group of 5 program outside the top two of its conference by football revenue."
Utah State Aggies football,College football,35,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 6, 2.0x on $17.3M sport revenue; Group of 5 program outside the top two of its conference by football revenue."
Buffalo Bulls football,College football,53,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 5, 3.75x on $14.1M sport revenue; Top two of MAC by football revenue (rank 1 of 2)."
San Jose State Spartans football,College football,24,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 6, 2.0x on $11.9M sport revenue; Group of 5 program outside the top two of its conference by football revenue."
Tulane Green Wave,College football,90,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 5, 3.75x on $24.0M sport revenue; Named T5 Group of 5 anchor brand in the brief."
Ball State Cardinals football,College football,30,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 5, 3.75x on $8.0M sport revenue; Top two of MAC by football revenue (rank 2 of 2)."
Boise State Broncos,College football,209,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 5, 3.75x on $55.7M sport revenue; Named T5 Group of 5 anchor brand in the brief."
Coastal Carolina Chanticleers,College football,64,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 5, 3.75x on $17.1M sport revenue; Top two of Sun Belt by football revenue (rank 1 of 3)."
Liberty Flames,College football,86,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier 5, 3.75x on $23.0M sport revenue; Top two of C-USA by football revenue (rank 1 of 1)."
Michigan,College basketball,106,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $21.2M sport revenue; Remaining Big Ten / Big East program, not in a higher basketball tier."
Duke,College basketball,409,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Blue blood, 7.75x on $52.7M sport revenue; Named blue-blood brand in the brief."
Connecticut,College basketball,156,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Blue blood, 7.75x on $20.2M sport revenue; Named blue-blood brand in the brief."
St. John's,College basketball,208,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Upper high-major, 6.5x on $32.0M sport revenue; Top 15 of all Power 4 / Big East programs by men's basketball revenue (rank 6)."
Arizona,College basketball,147,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Upper high-major, 6.5x on $22.6M sport revenue; Named upper high-major brand in the brief."
Villanova,College basketball,108,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Upper high-major, 6.5x on $16.6M sport revenue; Named upper high-major brand in the brief."
Kentucky,College basketball,166,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Blue blood, 7.75x on $21.4M sport revenue; Named blue-blood brand in the brief."
North Carolina,College basketball,308,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Blue blood, 7.75x on $39.7M sport revenue; Named blue-blood brand in the brief."
Florida,College basketball,86,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $17.3M sport revenue; Remaining SEC / Big East program, not in a higher basketball tier."
Illinois,College basketball,226,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Upper high-major, 6.5x on $34.8M sport revenue; Top 15 of all Power 4 / Big East programs by men's basketball revenue (rank 5)."
Gonzaga,College basketball,127,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Upper high-major, 6.5x on $19.5M sport revenue; Named upper high-major brand in the brief."
Purdue,College basketball,136,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Upper high-major, 6.5x on $21.0M sport revenue; Named upper high-major brand in the brief."
Kansas,College basketball,170,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Blue blood, 7.75x on $21.9M sport revenue; Named blue-blood brand in the brief."
Michigan State,College basketball,142,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Upper high-major, 6.5x on $21.8M sport revenue; Named upper high-major brand in the brief."
Indiana,College basketball,405,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Blue blood, 7.75x on $52.3M sport revenue; Named blue-blood brand in the brief."
Iowa,College basketball,84,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $16.7M sport revenue; Remaining Big Ten / Big East program, not in a higher basketball tier."
Arkansas,College basketball,165,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Upper high-major, 6.5x on $25.4M sport revenue; Top 15 of all Power 4 / Big East programs by men's basketball revenue (rank 11)."
UCLA,College basketball,89,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $17.8M sport revenue; Remaining Big Ten / Big East program, not in a higher basketball tier."
VCU,College basketball,31,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Top mid-major, 4.0x on $7.8M sport revenue; Named top mid-major brand in the brief."
Nebraska,College basketball,92,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $18.4M sport revenue; Remaining Big Ten / Big East program, not in a higher basketball tier."
Texas,College basketball,87,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $17.4M sport revenue; Remaining SEC / Big East program, not in a higher basketball tier."
Auburn,College basketball,173,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Upper high-major, 6.5x on $26.6M sport revenue; Top 15 of all Power 4 / Big East programs by men's basketball revenue (rank 9)."
Iowa State,College basketball,72,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $14.4M sport revenue; Remaining Big 12 / Big East program, not in a higher basketball tier."
Virginia,College basketball,89,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $17.8M sport revenue; Remaining ACC / Big East program, not in a higher basketball tier."
Ohio State,College basketball,152,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Upper high-major, 6.5x on $23.4M sport revenue; Top 15 of all Power 4 / Big East programs by men's basketball revenue (rank 13)."
Houston,College basketball,95,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Upper high-major, 6.5x on $14.6M sport revenue; Named upper high-major brand in the brief."
Louisville,College basketball,148,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Upper high-major, 6.5x on $22.8M sport revenue; Named upper high-major brand in the brief."
North Carolina State,College basketball,95,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $19.0M sport revenue; Remaining ACC / Big East program, not in a higher basketball tier."
Tennessee,College basketball,230,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Upper high-major, 6.5x on $35.3M sport revenue; Top 15 of all Power 4 / Big East programs by men's basketball revenue (rank 4)."
BYU,College basketball,182,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Upper high-major, 6.5x on $28.0M sport revenue; Top 15 of all Power 4 / Big East programs by men's basketball revenue (rank 8)."
Georgetown,College basketball,87,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $17.5M sport revenue; Remaining Big East / Big East program, not in a higher basketball tier."
Saint Mary's,College basketball,33,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Top mid-major, 4.0x on $8.3M sport revenue; Named top mid-major brand in the brief."
Syracuse,College basketball,205,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Upper high-major, 6.5x on $31.6M sport revenue; Top 15 of all Power 4 / Big East programs by men's basketball revenue (rank 7)."
Vanderbilt,College basketball,67,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $13.3M sport revenue; Remaining SEC / Big East program, not in a higher basketball tier."
Alabama,College basketball,159,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Upper high-major, 6.5x on $24.4M sport revenue; Top 15 of all Power 4 / Big East programs by men's basketball revenue (rank 12)."
Marquette,College basketball,167,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Upper high-major, 6.5x on $25.7M sport revenue; Named upper high-major brand in the brief."
Wake Forest,College basketball,65,2025,EADA FY2025 sport revenue x tiered EV/revenue multiple (standalone program),https://ope.ed.gov/athletics/,speculative,low,"Tier Standard power conference, 5.0x on $13.1M sport revenue; Remaining ACC / Big East program, not in a higher basketball tier."
