team,league,value_usd_m,year,source,source_url,method,confidence,notes
Kansas,College basketball,78,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $21.9M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.57 (dept value $620M / EADA total athletics revenue $173.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Michigan State,College basketball,106,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $21.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.85 (dept value $780M / EADA total athletics revenue $160.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Indiana,College basketball,222,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $52.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.26 (dept value $775M / EADA total athletics revenue $182.1M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Iowa,College basketball,77,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $16.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.64 (dept value $835M / EADA total athletics revenue $180.0M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Arkansas,College basketball,104,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $25.4M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.08 (dept value $800M / EADA total athletics revenue $195.9M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
UCLA,College basketball,55,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $17.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.11 (dept value $539M / EADA total athletics revenue $173.4M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
VCU,College basketball,31,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $7.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.99 (dept value $163M / EADA total athletics revenue $40.9M, same FY). Dept value source: College Factual EADA summary."
Nebraska,College basketball,85,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $18.4M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.58 (dept value $943M / EADA total athletics revenue $205.8M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Texas,College basketball,65,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $17.4M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.73 (dept value $1281M / EADA total athletics revenue $343.1M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Auburn,College basketball,105,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $26.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.95 (dept value $810M / EADA total athletics revenue $205.3M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Iowa State,College basketball,80,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $14.4M (FY2025 (EADA, academic year 2024-25)) x implied multiple 5.53 (dept value $575M / EADA total athletics revenue $103.9M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Virginia,College basketball,72,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $17.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.05 (dept value $610M / EADA total athletics revenue $150.6M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Ohio State,College basketball,104,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $23.4M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.46 (dept value $1318M / EADA total athletics revenue $295.3M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Houston,College basketball,32,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $14.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.22 (dept value $222M / EADA total athletics revenue $100.2M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Louisville,College basketball,94,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $22.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.14 (dept value $645M / EADA total athletics revenue $155.9M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
North Carolina State,College basketball,82,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $19.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.30 (dept value $584M / EADA total athletics revenue $135.8M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Tennessee,College basketball,116,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $35.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.29 (dept value $940M / EADA total athletics revenue $285.4M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
BYU,College basketball,91,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $28.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.26 (dept value $500M / EADA total athletics revenue $153.4M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Georgetown,College basketball,70,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $17.5M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $234M / EADA total athletics revenue $58.5M, same FY). Dept value source: College Factual EADA summary."
Saint Mary's,College basketball,33,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $8.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $128M / EADA total athletics revenue $32.0M, same FY). Dept value source: College Factual EADA summary."
Syracuse,College basketball,118,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $31.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.74 (dept value $452M / EADA total athletics revenue $120.8M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Vanderbilt,College basketball,60,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $13.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.47 (dept value $655M / EADA total athletics revenue $146.4M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Alabama,College basketball,98,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $24.4M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $978M / EADA total athletics revenue $244.6M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Marquette,College basketball,103,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $25.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.99 (dept value $178M / EADA total athletics revenue $44.6M, same FY). Dept value source: College Factual EADA summary."
Wake Forest,College basketball,46,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $13.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.53 (dept value $405M / EADA total athletics revenue $114.6M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Xavier,College basketball,64,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $16.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.99 (dept value $127M / EADA total athletics revenue $31.8M, same FY). Dept value source: College Factual EADA summary."
Wisconsin,College basketball,91,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $19.9M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.59 (dept value $875M / EADA total athletics revenue $190.5M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Creighton,College basketball,79,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $19.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $164M / EADA total athletics revenue $41.0M, same FY). Dept value source: College Factual EADA summary."
Maryland,College basketball,68,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $16.5M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.15 (dept value $534M / EADA total athletics revenue $128.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Miami (FL),College basketball,59,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $17.9M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.30 (dept value $760M / EADA total athletics revenue $230.5M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Providence,College basketball,50,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $12.5M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $235M / EADA total athletics revenue $58.7M, same FY). Dept value source: College Factual EADA summary."
Seton Hall,College basketball,39,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $9.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $132M / EADA total athletics revenue $33.0M, same FY). Dept value source: College Factual EADA summary."
Utah State,College basketball,23,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $5.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.99 (dept value $193M / EADA total athletics revenue $48.3M, same FY). Dept value source: College Factual EADA summary. Department value reused from this school's College football department row (no basketball-specific department figure existed)."
California,College basketball,28,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $13.2M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.14 (dept value $370M / EADA total athletics revenue $173.1M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Wichita State,College basketball,27,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $6.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $149M / EADA total athletics revenue $37.2M, same FY). Dept value source: College Factual EADA summary."
Butler,College basketball,52,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $12.9M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.01 (dept value $148M / EADA total athletics revenue $36.9M, same FY). Dept value source: College Factual EADA summary."
LSU,College basketball,56,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $13.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.10 (dept value $916M / EADA total athletics revenue $223.5M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
USC,College basketball,52,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $13.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.94 (dept value $923M / EADA total athletics revenue $234.0M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Rutgers,College basketball,47,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $16.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.95 (dept value $506M / EADA total athletics revenue $171.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Cincinnati,College basketball,29,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $12.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.35 (dept value $280M / EADA total athletics revenue $119.3M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Georgia,College basketball,65,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $16.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.07 (dept value $950M / EADA total athletics revenue $233.5M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
West Virginia,College basketball,42,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $10.2M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.10 (dept value $481M / EADA total athletics revenue $117.4M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Missouri,College basketball,73,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $18.9M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.86 (dept value $700M / EADA total athletics revenue $181.1M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Arizona State,College basketball,29,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $10.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.88 (dept value $430M / EADA total athletics revenue $149.3M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Baylor,College basketball,75,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $18.4M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.06 (dept value $585M / EADA total athletics revenue $144.1M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Notre Dame,College basketball,44,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $13.2M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.35 (dept value $969M / EADA total athletics revenue $289.6M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Texas A&M,College basketball,84,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $15.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 5.37 (dept value $1264M / EADA total athletics revenue $235.5M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
DePaul,College basketball,51,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $12.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.01 (dept value $191M / EADA total athletics revenue $47.7M, same FY). Dept value source: College Factual EADA summary."
Clemson,College basketball,58,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $12.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.62 (dept value $860M / EADA total athletics revenue $186.1M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Penn State,College basketball,55,2024,EADA program revenue x department multiple (dept value from CNBC's Official College Sports Valuations 2025: Top 75 athletic programs),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $15.2M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.63 (dept value $924M / EADA total athletics revenue $254.4M, same FY). Dept value source: CNBC's Official College Sports Valuations 2025: Top 75 athletic programs."
Texas Tech,College basketball,71,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $16.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.43 (dept value $570M / EADA total athletics revenue $128.8M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
TCU,College basketball,57,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $15.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.64 (dept value $568M / EADA total athletics revenue $156.0M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Oklahoma State,College basketball,71,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $18.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.90 (dept value $600M / EADA total athletics revenue $153.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Central Florida,College basketball,19,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $7.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.41 (dept value $262M / EADA total athletics revenue $108.9M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Washington,College basketball,60,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $13.5M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.46 (dept value $795M / EADA total athletics revenue $178.4M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Pittsburgh,College basketball,52,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $13.9M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.78 (dept value $572M / EADA total athletics revenue $151.3M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Kansas State,College basketball,46,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $10.9M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.22 (dept value $435M / EADA total athletics revenue $103.0M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
SMU,College basketball,43,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $16.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.56 (dept value $385M / EADA total athletics revenue $150.2M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Minnesota,College basketball,71,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $16.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.43 (dept value $695M / EADA total athletics revenue $156.8M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Georgia Tech,College basketball,60,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $14.5M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.11 (dept value $577M / EADA total athletics revenue $140.4M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Oregon,College basketball,61,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $11.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 5.27 (dept value $880M / EADA total athletics revenue $167.1M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Stanford,College basketball,45,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $10.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.18 (dept value $805M / EADA total athletics revenue $192.8M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
San Diego State,College basketball,46,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $15.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.01 (dept value $270M / EADA total athletics revenue $89.8M, same FY). Dept value source: CNBC Official College Sports Valuations 2025. Department value reused from this school's College football department row (no basketball-specific department figure existed)."
Florida Atlantic,College basketball,19,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $4.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $197M / EADA total athletics revenue $49.3M, same FY). Dept value source: College Factual EADA summary."
Florida State,College basketball,58,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $14.6M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.97 (dept value $765M / EADA total athletics revenue $192.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Loyola Chicago,College basketball,28,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Men's basketball revenue $7.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.01 (dept value $102M / EADA total athletics revenue $25.5M, same FY). Dept value source: College Factual EADA summary."
Boston College,College basketball,37,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $10.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.73 (dept value $530M / EADA total athletics revenue $142.1M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Utah,College basketball,61,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Men's basketball revenue $17.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.60 (dept value $451M / EADA total athletics revenue $125.2M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
