team,league,value_usd_m,year,source,source_url,method,confidence,notes
Brighton & Hove Albion,Premier League,860,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
Fulham,Premier League,850,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
AS Roma,Serie A,810,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
Crystal Palace,Premier League,790,2025,The World's Most Valuable Soccer Teams 2025 (Forbes),https://www.forbes.com/sites/justinteitelbaum/2025/05/30/the-worlds-most-valuable-soccer-teams-2025/,published,high,Forbes global soccer valuation ranking.
Eintracht Frankfurt,Bundesliga,1056,2025,Football Clubs' Valuation: The European Elite 2025 (Football Benchmark),https://footballbenchmark.com/documents/d/guest/football-benchmark-the-european-elite-2025,published,high,"Enterprise value EUR978m, converted at ~1.08 EUR/USD (2025 average)."
AFC Ajax,Eredivisie,579,2025,Football Clubs' Valuation: The European Elite 2025 (Football Benchmark),https://footballbenchmark.com/documents/d/guest/football-benchmark-the-european-elite-2025,published,high,"Enterprise value EUR536m, converted at ~1.08 EUR/USD (2025 average)."
PSV Eindhoven,Eredivisie,534,2025,Football Clubs' Valuation: The European Elite 2025 (Football Benchmark),https://footballbenchmark.com/documents/d/guest/football-benchmark-the-european-elite-2025,published,high,"Enterprise value EUR494m, converted at ~1.08 EUR/USD (2025 average)."
Real Sociedad,La Liga,571,2025,Football Clubs' Valuation: The European Elite 2025 (Football Benchmark),https://footballbenchmark.com/documents/d/guest/football-benchmark-the-european-elite-2025,published,high,"Enterprise value EUR529m, converted at ~1.08 EUR/USD (2025 average)."
Sevilla FC,La Liga,564,2025,Football Clubs' Valuation: The European Elite 2025 (Football Benchmark),https://footballbenchmark.com/documents/d/guest/football-benchmark-the-european-elite-2025,published,high,"Enterprise value EUR522m, converted at ~1.08 EUR/USD (2025 average)."
ACF Fiorentina,Serie A,548,2025,Football Clubs' Valuation: The European Elite 2025 (Football Benchmark),https://footballbenchmark.com/documents/d/guest/football-benchmark-the-european-elite-2025,published,high,"Enterprise value EUR507m, converted at ~1.08 EUR/USD (2025 average)."
Real Betis,La Liga,510,2025,Football Clubs' Valuation: The European Elite 2025 (Football Benchmark),https://footballbenchmark.com/documents/d/guest/football-benchmark-the-european-elite-2025,published,high,"Enterprise value EUR472m, converted at ~1.08 EUR/USD (2025 average)."
Flamengo,Brasileirao Serie A,944,2025,"Flamengo Crosses The R$5 Billion Line As Brazil's Club Valuations Surge (Rio Times, citing Sports Value Valuation Top 30 Clubs in Brazil)",https://www.riotimesonline.com/flamengo-crosses-the-r5-billion-line-as-brazils-club-valuations-surge/,published,high,"R$5.096bn, converted at the article's own implied rate of ~5.4 BRL/USD (2025 average)."
Palmeiras,Brasileirao Serie A,814,2025,"Flamengo Crosses The R$5 Billion Line As Brazil's Club Valuations Surge (Rio Times, citing Sports Value)",https://www.riotimesonline.com/flamengo-crosses-the-r5-billion-line-as-brazils-club-valuations-surge/,published,high,"R$4.395bn, converted at ~5.4 BRL/USD (2025 average)."
Corinthians,Brasileirao Serie A,735,2025,"Flamengo Crosses The R$5 Billion Line As Brazil's Club Valuations Surge (Rio Times, citing Sports Value)",https://www.riotimesonline.com/flamengo-crosses-the-r5-billion-line-as-brazils-club-valuations-surge/,published,high,"R$3.971bn, converted at ~5.4 BRL/USD (2025 average)."
Botafogo,Brasileirao Serie A,556,2025,"Flamengo Crosses The R$5 Billion Line As Brazil's Club Valuations Surge (Rio Times, citing Sports Value)",https://www.riotimesonline.com/flamengo-crosses-the-r5-billion-line-as-brazils-club-valuations-surge/,published,high,"R$3.0bn, converted at ~5.4 BRL/USD (2025 average)."
Cruzeiro,Brasileirao Serie A,524,2025,"Flamengo Crosses The R$5 Billion Line As Brazil's Club Valuations Surge (Rio Times, citing Sports Value)",https://www.riotimesonline.com/flamengo-crosses-the-r5-billion-line-as-brazils-club-valuations-surge/,published,high,"R$2.831bn, converted at ~5.4 BRL/USD (2025 average)."
Wrexham AFC,EFL Championship,475,2025,"Wrexham Looking to Sell Stake at 19,000% Valuation Growth: Report (Front Office Sports, citing Bloomberg)",https://frontofficesports.com/wrexham-sale-valuation-growth-475-million/,transaction,medium,"Reported June 2025 (Bloomberg) implied club valuation as Wrexham sought new investment; the specific stake percentage on offer was not disclosed in the source, so this is a headline deal valuation rather than a precisely back-calculated stake-price x (1/stake%) figure. USD reported directly."
Ipswich Town,EFL Championship,445,2025,Ipswich Town ownership restructured at reported £350m valuation (ipswich.co.uk),https://www.ipswich.co.uk/ipswich-town-ownership-restructured-at-reported-350m-valuation/,transaction,medium,"December 2025 ownership restructure (new investment from Three Lions fund and Clara Vista Partners alongside existing ~40% Avenue Sports/Bright Path stake from March 2024 and Ed Sheeran's 1.4% stake from August 2024) implied a reported GBP350m valuation, unconfirmed officially by the club; Bloomberg separately cited an alternative enterprise value of GBP375m (or GBP325m without Premier League promotion). GBP350m converted at ~1.27 GBP/USD (2025 average) = ~$445m. Wide uncertainty band given the GBP325-375m alternative range and lack of club confirmation."
Celtic,Scottish Premiership,216,2026,"Celtic (CCP.L) - Market capitalization (companiesmarketcap.com, sourced from London Stock Exchange listing)",https://companiesmarketcap.com/gbp/celtic/marketcap/,published,high,"Celtic plc market cap = GBP170m as of September 2026 (publicly listed on AIM/LSE, so this is an observable, real-time market valuation, not a modeled estimate). Converted at ~1.27 GBP/USD."
Rangers FC,Scottish Premiership,190,2025,49ers Enterprises Completes Rangers FC Takeover (Sportico); deal valuation per Ibrox Noise,https://www.sportico.com/leagues/soccer/2025/49ers-enterprises-rangers-fc-scotland-ownership-1234854464/,transaction,medium,"49ers Enterprises-led consortium (Andrew Cavenagh) acquired a 51% majority stake, completed May 2025, at a deal reported to value the club at approximately GBP150m (Ibrox Noise), separate from a pledged GBP20m further investment in the squad/infrastructure. GBP150m converted at ~1.27 GBP/USD = ~$190m. The Sportico article itself confirmed the 51% stake and deal completion but not the price; the GBP150m figure comes from Scottish football press (Ibrox Noise) reporting on the same deal, not from Sportico directly - flagged as medium confidence given the two-source construction."
Everton,Premier League,1270,2026,"The Friedkins acquisition & restructuring of Everton Football Club (theesk.org / Paul Quinn), relaying reporting on the Friedkin Group's internal valuation via goodisonnews.com / Mark Douglas, The i Paper",https://www.goodisonnews.com/finance/what-friedkin-group-now-plan-next-at-everton-as-new-valuation-shared,transaction,low,"VERIFICATION NOTE (per coordinator's instruction): an external claim that Everton is worth 'about $850M-1.0B, Friedkin acquisition' does NOT match the original reporting located. The actual reporting (Mark Douglas/The i Paper, via goodisonnews.com, published September 2026) states the Friedkin Group values Everton at approximately GBP1 billion (~$1,270m at ~1.27 GBP/USD) - notably higher than the external claim, and citing West Ham's rejected GBP800m bid for the club (when West Ham were still in the Premier League) as a reference point. Crucially, this is NOT a completed transaction or an independent valuation - it is the Friedkins' own internal figure, used as the pricing basis for a still-pending MINORITY stake sale, so it should be treated as a related party's self-interested number, not a market-clearing price. The Friedkin Group's original 2024 Everton acquisition price (~GBP400-500m reported at the time) is a separate, lower, and more independently-verified figure not used here."
Queretaro FC,Liga MX,120,2025,Liga MX Team Querétaro Sells For More Than $120 Million To American-Led Group (Forbes),https://www.forbes.com/sites/brettknight/2025/07/11/liga-mx-queretaro-sale-marc-spiegel/,transaction,medium,"Sale to an Innovatio Capital-led (Marc Spiegel) group from Jorgealberto Hank Inzunza/Grupo Caliente, closed July 10 2025; reported as 'more than $120 million' and described by a source as roughly 5x 2024-25 revenue. Appears to be a full/controlling acquisition, though the exact stake percentage was not disclosed in the source. USD reported directly, no FX conversion needed."
Nottingham Forest,England,525,2025,"external estimate (unverified), supplied by Ashwin",,speculative,low,Midpoint of Ashwin-supplied estimate range; no independent verification performed this pass.
AFC Bournemouth,England,625,2025,"external estimate (unverified), supplied by Ashwin",,speculative,low,Midpoint of Ashwin-supplied estimate range; no independent verification performed this pass.
Brentford,England,575,2025,"external estimate (unverified), supplied by Ashwin",,speculative,low,Midpoint of Ashwin-supplied estimate range; no independent verification performed this pass.
Sunderland,England,475,2025,"external estimate (unverified), supplied by Ashwin",,speculative,low,Midpoint of Ashwin-supplied estimate range; no independent verification performed this pass.
Leeds United,England,667,2025,Every Premier League Club's Valuation-Ranked (SI.com),https://www.si.com/soccer/every-premier-league-club-valuation-ranked,speculative,low,SI.com reports a range of GBP500-550m; midpoint GBP525m converted at ~1.27 GBP/USD. Methodology behind SI's ranges is not fully disclosed - treat as a press estimate.
Athletic Bilbao,Spain,172,2025,Spanish teams on top: Brand Finance releases 2025 ranking of the 50 most valuable football brands,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy (Brand Finance Football 50 2025), not enterprise value - clubs' brand value is typically a fraction of full EV. EUR159m converted at ~1.08 EUR/USD."
Villarreal CF,Spain,100,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR93m converted at ~1.08 EUR/USD."
Valencia CF,Spain,85,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR79m converted at ~1.08 EUR/USD."
Celta Vigo,Spain,58,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR54m converted at ~1.08 EUR/USD."
Bayer Leverkusen,Germany,444,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR411m converted at ~1.08 EUR/USD."
RB Leipzig,Germany,276,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR256m converted at ~1.08 EUR/USD."
Borussia Monchengladbach,Germany,176,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR163m converted at ~1.08 EUR/USD."
SC Freiburg,Germany,167,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR155m converted at ~1.08 EUR/USD."
Werder Bremen,Germany,112,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR104m converted at ~1.08 EUR/USD."
Union Berlin,Germany,107,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR99m converted at ~1.08 EUR/USD."
SSC Napoli,Italy,259,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR240m converted at ~1.08 EUR/USD."
Atalanta,Italy,107,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR99m converted at ~1.08 EUR/USD."
SS Lazio,Italy,87,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR81m converted at ~1.08 EUR/USD."
Bologna FC,Italy,59,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR55m converted at ~1.08 EUR/USD."
Torino FC,Italy,44,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR41m converted at ~1.08 EUR/USD."
Olympique de Marseille,France,213,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR197m converted at ~1.08 EUR/USD."
Olympique Lyonnais,France,144,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR133m converted at ~1.08 EUR/USD."
RC Lens,France,58,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR54m converted at ~1.08 EUR/USD."
AS Monaco,France,56,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR52m converted at ~1.08 EUR/USD."
OGC Nice,France,53,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR49m converted at ~1.08 EUR/USD."
LOSC Lille,France,48,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR44m converted at ~1.08 EUR/USD."
Stade Rennais,France,35,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR32m converted at ~1.08 EUR/USD."
Stade Brestois,France,24,2025,Brand Finance Football 50 2025,https://static.poder360.com.br/2025/08/brand-finance-football-50-2025-preview.pdf,speculative,low,"BRAND VALUE proxy, not enterprise value. EUR22m converted at ~1.08 EUR/USD."
Atletico Mineiro,Brasileirao Serie A,636,2025,Valuation TOP 30 Brazilian Football Clubs 2025 - 6th Edition (Sports Value),https://www.sportsvalue.com.br/wp-content/uploads/2026/01/Valuation-TOP-30-Teams-Brazil-6th.-edition.pdf,speculative,medium,"Sports Value's own club-valuation methodology (EV-style, not a simple brand-value proxy), 6th edition (2025). USD figures as published, no further FX conversion needed."
Sao Paulo FC,Brasileirao Serie A,612,2025,Sports Value Valuation TOP 30 Brazilian Clubs 2025 (6th Edition),https://www.sportsvalue.com.br/wp-content/uploads/2026/01/Valuation-TOP-30-Teams-Brazil-6th.-edition.pdf,speculative,medium,"Sports Value club-valuation methodology, 6th edition (2025)."
SC Internacional,Brasileirao Serie A,489,2025,Sports Value Valuation TOP 30 Brazilian Clubs 2025 (6th Edition),https://www.sportsvalue.com.br/wp-content/uploads/2026/01/Valuation-TOP-30-Teams-Brazil-6th.-edition.pdf,speculative,medium,"Sports Value club-valuation methodology, 6th edition (2025)."
Athletico Paranaense,Brasileirao Serie A,396,2025,Sports Value Valuation TOP 30 Brazilian Clubs 2025 (6th Edition),https://www.sportsvalue.com.br/wp-content/uploads/2026/01/Valuation-TOP-30-Teams-Brazil-6th.-edition.pdf,speculative,medium,"Sports Value club-valuation methodology, 6th edition (2025)."
Fluminense,Brasileirao Serie A,393,2025,Sports Value Valuation TOP 30 Brazilian Clubs 2025 (6th Edition),https://www.sportsvalue.com.br/wp-content/uploads/2026/01/Valuation-TOP-30-Teams-Brazil-6th.-edition.pdf,speculative,medium,"Sports Value club-valuation methodology, 6th edition (2025)."
Gremio,Brasileirao Serie A,346,2025,Sports Value Valuation TOP 30 Brazilian Clubs 2025 (6th Edition),https://www.sportsvalue.com.br/wp-content/uploads/2026/01/Valuation-TOP-30-Teams-Brazil-6th.-edition.pdf,speculative,medium,"Sports Value club-valuation methodology, 6th edition (2025)."
Bahia,Brasileirao Serie A,336,2025,Sports Value Valuation TOP 30 Brazilian Clubs 2025 (6th Edition),https://www.sportsvalue.com.br/wp-content/uploads/2026/01/Valuation-TOP-30-Teams-Brazil-6th.-edition.pdf,speculative,medium,"Sports Value club-valuation methodology, 6th edition (2025)."
Red Bull Bragantino,Brasileirao Serie A,324,2025,Sports Value Valuation TOP 30 Brazilian Clubs 2025 (6th Edition),https://www.sportsvalue.com.br/wp-content/uploads/2026/01/Valuation-TOP-30-Teams-Brazil-6th.-edition.pdf,speculative,medium,"Sports Value club-valuation methodology, 6th edition (2025)."
Vasco da Gama,Brasileirao Serie A,287,2025,Sports Value Valuation TOP 30 Brazilian Clubs 2025 (6th Edition),https://www.sportsvalue.com.br/wp-content/uploads/2026/01/Valuation-TOP-30-Teams-Brazil-6th.-edition.pdf,speculative,medium,"Sports Value club-valuation methodology, 6th edition (2025)."
Santos FC,Brasileirao Serie A,256,2025,Sports Value Valuation TOP 30 Brazilian Clubs 2025 (6th Edition),https://www.sportsvalue.com.br/wp-content/uploads/2026/01/Valuation-TOP-30-Teams-Brazil-6th.-edition.pdf,speculative,medium,"Sports Value club-valuation methodology, 6th edition (2025)."
Esporte Clube Vitoria,Brasileirao Serie A,156,2025,Sports Value Valuation TOP 30 Brazilian Clubs 2025 (6th Edition),https://www.sportsvalue.com.br/wp-content/uploads/2026/01/Valuation-TOP-30-Teams-Brazil-6th.-edition.pdf,speculative,medium,"Sports Value's Top 30 spans multiple Brazilian divisions; this and the remaining Brazilian rows below were not individually cross-checked against the current Serie A 2025-26 table, so league/division should be verified before use."
Coritiba,Brasileirao Serie A,68,2025,Sports Value Valuation TOP 30 Brazilian Clubs 2025 (6th Edition),https://www.sportsvalue.com.br/wp-content/uploads/2026/01/Valuation-TOP-30-Teams-Brazil-6th.-edition.pdf,speculative,medium,See division caveat on the Vitoria row above; Coritiba was in Serie B as of 2025.
Clube do Remo,Brasileirao Serie A,57,2025,Sports Value Valuation TOP 30 Brazilian Clubs 2025 (6th Edition),https://www.sportsvalue.com.br/wp-content/uploads/2026/01/Valuation-TOP-30-Teams-Brazil-6th.-edition.pdf,speculative,medium,See division caveat on the Vitoria row above; Remo has not historically been a Serie A club.
Collingwood Magpies,AFL,83,2025,Brand Finance AFL & NRL 2025,https://static.brandirectory.com/reports/brand-finance-afl-nrl-2025-preview.pdf,speculative,low,"BRAND VALUE proxy (Brand Finance), not club enterprise/franchise value. AUD127m converted at ~0.65 AUD/USD. AFL is a closed, not-for-profit-owner league with essentially no club sale market, so no true EV comparable exists - brand value is the best available proxy."
Brisbane Lions,AFL,75,2025,Brand Finance AFL & NRL 2025,https://static.brandirectory.com/reports/brand-finance-afl-nrl-2025-preview.pdf,speculative,low,BRAND VALUE proxy. AUD116m converted at ~0.65 AUD/USD.
Sydney Swans,AFL,75,2025,Brand Finance AFL & NRL 2025,https://static.brandirectory.com/reports/brand-finance-afl-nrl-2025-preview.pdf,speculative,low,BRAND VALUE proxy. AUD115m converted at ~0.65 AUD/USD.
Richmond Tigers,AFL,70,2025,Brand Finance AFL & NRL 2025,https://static.brandirectory.com/reports/brand-finance-afl-nrl-2025-preview.pdf,speculative,low,BRAND VALUE proxy. AUD108m converted at ~0.65 AUD/USD.
Carlton,AFL,64,2025,Brand Finance AFL & NRL 2025,https://static.brandirectory.com/reports/brand-finance-afl-nrl-2025-preview.pdf,speculative,low,BRAND VALUE proxy. AUD99m converted at ~0.65 AUD/USD.
