ruling_type,sheet_row,team,country,level,register,option_a,option_b,more_options,suggested,ruling,how_to_rule
1 ambiguous: pick the candidate,9434,Riachuelo FC,Brazil,,v0,reep_t3603ef0b = Riachuelo Futebol Clube,reep_t40ded8fc = Riachuelo Atlético Clube,reep_t48428272 = Riachuelo Futebol Clube | reep_t78b8acd8 = Riachuelo Atlético Clube,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): ['Riachuelo Futebol Clube', 'Riachuelo Futebol Clube']; R2 subset: Riachuelo Futebol Clube: extras []; Riachuelo Atlético Clube: missing ['fc']; Riachuelo Futebol Clube: extras []; Riachuelo Atlético Clube: missing ['fc']; R3 city []: 0"
1 ambiguous: pick the candidate,9044,Rio Pardo FC,Brazil,,v0,reep_t48ba4448 = Futebol Clube Rio Pardo,reep_t5872ee21 = Rio Pardo Futebol Clube,reep_tbc3850f8 = Esporte Clube Rio Pardo,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): ['Futebol Clube Rio Pardo', 'Rio Pardo Futebol Clube']; R2 subset: Futebol Clube Rio Pardo: extras []; Rio Pardo Futebol Clube: extras []; Esporte Clube Rio Pardo: missing ['fc']; R3 city []: 0; R8 founded vs tables 1992-1992: founded [], 0 founded before first season"
1 ambiguous: pick the candidate,9279,SC Aliança,Brazil,,v0,reep_t825e609d = Clube Atlético Aliança,reep_te99d5955 = Aliança Futebol Clube,,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): []; R2 subset: Clube Atlético Aliança: missing ['sc']; Aliança Futebol Clube: missing ['sc']; R3 city []: 0"
1 ambiguous: pick the candidate,8911,Ypiranga Sport Club,Brazil,,v1,"rt2e0fc6a49ee964 = Ypiranga RS [men; last season 2026; 6 providers: api_football, espn, fifa, fotmob, opta]","rt7dc5f21beddc11 = Ypiranga AP [men; last season 2021; 3 providers: fifa, opta, wyscout]",,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): []; R2 subset: Ypiranga RS: missing ['sport', 'club']; Ypiranga AP: missing ['sport', 'club']; R3 city []: 0"
1 ambiguous: pick the candidate,1740,PFC Vidima-Rakovski,Bulgaria,,v1,"rt517467dfe098bf = Vidima-Rakovski [men; last season 2014; 2 providers: opta, wyscout]",rt6b0d198746bb82 = Vidima-Rakovski [men; last season 2014; 1 providers: sportmonks],,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): ['Vidima-Rakovski', 'Vidima-Rakovski']; R2 subset: Vidima-Rakovski: missing ['pfc']; Vidima-Rakovski: missing ['pfc']; R3 city ['sevlievo']: 2; R6 duplicate label: 2 of 2 carry provider keys; R8 founded vs tables 2004-2012: founded [], 0 founded before first season; R6b richer duplicate: provider counts [2, 1]"
1 ambiguous: pick the candidate,2536,Fleetwood (old),England,,v1,"rt19b15537203a0d = Fleetwood Town CC [men; last season 2018; 2 providers: opta, wyscout]","rtea2886832cc4f1 = Fleetwood Town [men; last season 2026; 9 providers: capology, eafc, espn, fifa, fotmob]",,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): ['Fleetwood Town CC', 'Fleetwood Town']; R2 subset: Fleetwood Town CC: extras ['cc', 'town']; Fleetwood Town: extras ['town']; R3 city ['blackpool']: 0; R5 qualifier 'old': 0"
1 ambiguous: pick the candidate,2468,Pilgrims,England,,v0,reep_t132dda7a = The Pilgrims F.C.,reep_t985089f4 = Pilgrims F.C.,,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): ['The Pilgrims F.C.', 'Pilgrims F.C.']; R2 subset: The Pilgrims F.C.: extras []; Pilgrims F.C.: extras []; R3 city ['london']: 0"
1 ambiguous: pick the candidate,5290,Jong Feyenoord,Netherlands,,v1,"rt4cf72ce38c6522 = Feyenoord U21 [men; last season 2025; 3 providers: api_football, fotmob, opta]","rta888570a737d79 = Feyenoord Res. [men; last season 2018; 2 providers: opta, wyscout]",,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): []; R2 subset: Feyenoord U21: missing ['jong']; Feyenoord Res.: missing ['jong']; R3 city ['hague', 'rotterdam']: 2"
1 ambiguous: pick the candidate,5197,Jong SC Heerenveen,Netherlands,,v1,"rt80a271dcf05b8a = Heerenveen U23 [men; last season 2008; 2 providers: opta, wyscout]","rtd6b3bd99e56a31 = Heerenveen Res. [men; last season 2018; 2 providers: opta, wyscout]",,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): []; R2 subset: Heerenveen U23: missing ['jong', 'sc']; Heerenveen Res.: missing ['jong', 'sc']; R3 city []: 0"
1 ambiguous: pick the candidate,6330,Stiinta Bacau,Romania,,v0,reep_t2812a61f = CS Știința Bacău,reep_tf10b7cd5 = FC Știința Bacău,,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): ['CS Știința Bacău', 'FC Știința Bacău']; R2 subset: CS Știința Bacău: extras []; FC Știința Bacău: extras []; R3 city []: 0; R8 founded vs tables 2009-2009: founded [2008], 1 founded before first season"
1 ambiguous: pick the candidate,7698,Yozgatspor,Turkey,,v1,rt1bf29445b42b07 = Yozgatspor AŞ [men; last season 2014; 1 providers: opta],"rtc744ddbaf116fd = Yozgatspor 1959 [men; last season 2023; 4 providers: fifa, fotmob, opta, wyscout]",,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): ['Yozgatspor AŞ', 'Yozgatspor 1959']; R2 subset: Yozgatspor AŞ: extras []; Yozgatspor 1959: extras []; R3 city ['yozgat']: 0; R8 founded vs tables 2001-2002: founded [], 0 founded before first season"
1 ambiguous: pick the candidate,8348,FC Tampa Bay,United States,,v1,rt9535d6f0b95186 = Tampa Bay Mutiny [men; last season 2001; 1 providers: opta],"rtc6b7baeeec3096 = VSI Tampa Bay [men; last season 2013; 3 providers: api_football, opta, wyscout]","rtddafae2fd3cf32 = Tampa Bay Rowdies [men; last season 2026; 10 providers: api_football, eafc, espn, fifa, fm]",,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): []; R2 subset: Tampa Bay Mutiny: missing ['fc']; VSI Tampa Bay: missing ['fc']; Tampa Bay Rowdies: missing ['fc']; R3 city []: 0"
1 ambiguous: pick the candidate,8315,Washington Diplomats 1981,United States,,v0,reep_t33ca383e = Washington Diplomats,reep_t482a9b1e = Washington Diplomats,,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): ['Washington Diplomats', 'Washington Diplomats']; R2 subset: Washington Diplomats: extras []; Washington Diplomats: extras []; R3 city ['baltimore']: 0; R5 qualifier '1981': 0"
3 v0/v1 point at differently named records,1338,FK Baku,Azerbaijan,,both,"v1 rt25d6e23fbff83f = Bakı [men; last season 2015; 4 providers: api_football, espn, opta, wyscout] (T1-alias)","v0 reep_te117ed7b = FC Baku (T2a, QID Q54988)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,1345,FK Shamkir,Azerbaijan,,both,"v1 rt999e2bfbee780b = Şəmkir [men; last season 2025; 4 providers: api_football, opta, sportmonks, wyscout] (T1-alias)","v0 reep_tfed7cf76 = FK Shamkir (T1, QID Q603407)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,1355,Ravan Baku,Azerbaijan,,both,"v1 rtc67cba7fdd9cd9 = Rəvan [men; last season 2016; 3 providers: api_football, opta, wyscout] (T1-alias)","v0 reep_teb0e3c48 = Ravan Baku FC (T2a, QID Q1389037)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,1429,FC Smolevichi,Belarus,,both,"v1 rtbdf5e3c4909c0e = Smolevichy [gender blank; last season 2020; 4 providers: api_football, fotmob, opta, wyscout] (T2a-alias)","v0 reep_t7aaff216 = FC Smolevichi (T1, QID Q795626)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,1490,RCS Verviétois,Belgium,,both,"v1 rtd1c1352387a54a = Verviers [men; last season 2018; 2 providers: opta, wyscout] (T1-alias)","v0 reep_tb6e2552c = R.C.S. Verviétois (T1, QID Q2049272)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,1480,RWD Molenbeek,Belgium,,both,v1 rt208258c8314a35 = RWD Molenbeek [gender blank; last season 2002; 1 providers: opta] (T1),"v0 reep_t30c46cf2 = RWDM Brussels (T1-alias, QID Q20979061)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,7990,PHC Zebras,Bermuda,,both,"v1 rtdbecf4db6f09ce = Pembroke Hamilton Club [gender blank; last season 2018; 3 providers: api_football, opta, wyscout] (T1-alias)","v0 reep_t04c0f6ab = PHC Zebras (T1, QID Q3374597)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,9404,Oeste,Brazil,,both,"v1 rtfec615dccc4a3e = Osasco Sporting [men; last season 2026; 5 providers: fifa, fm, fotmob, opta, wyscout] (T1-alias)","v0 reep_tc0874954 = Oeste Futebol Clube (R6 duplicate, QID Q966183)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,1785,Lyubimetz 2007,Bulgaria,,both,"v1 rtceb97e0982e46b = Lyubimets 2000 [men; last season 2022; 4 providers: api_football, fm, opta, wyscout] (T2a-alias)","v0 reep_t77ae35c6 = Lyubimetz 2007 (T1, QID Q2246820)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,1731,PFC Naftex Burgas,Bulgaria,,both,"v1 rt3c4430c94a45d2 = Neftohimik [men; last season 2026; 3 providers: opta, sportmonks, wyscout] (T2b-alias)","v0 reep_t0ac00ee0 = PFC Naftex Burgas (T1, QID Q2299849)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,43,RC Kadiogo,Burkina Faso,,both,"v1 rt10d4a17ba46f4c = RCK [men; last season 2018; 3 providers: api_football, opta, wyscout] (T1-alias)","v0 reep_ta5c94737 = Kadiogo FC (T2a, QID Q3191788)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,45,Athlético Olympic,Burundi,,both,"v1 rt7a12f3df2f43ff = Athlético New Oil [men; last season 2019; 2 providers: opta, wyscout] (T1-alias)","v0 reep_t3c6c2d2f = Atlético Olympic F.C. (T2a, QID Q757460)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,75,AS CotonTchad,Chad,,both,"v1 rtef4a6b1c52da91 = ASCOT [men; last season 2011; 2 providers: opta, wyscout] (T2a-alias)","v0 reep_t0f7544e2 = AS CotonTchad (T1, QID Q4654451)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,605,Guizhou Renhe,China,,both,"v1 rt0ad81991188156 = Beijing Chengfeng [men; last season 2020; 3 providers: fotmob, opta, wyscout] (T2a-alias)","v0 reep_t7456d426 = Guizhou Renhe F.C. (T2a, QID Q631695)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,608,Harbin Yiteng,China,,both,"v1 rtaf0e1f0e6bc450 = Shaoxing Keqiao Yuejia [men; last season 2018; 2 providers: opta, wyscout] (T2a-alias)","v0 reep_t7002f6b0 = Harbin Yiteng F.C. (T2a, QID Q564352)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,609,Heilongjiang Ice City,China,,both,"v1 rt8b3175df28ba6b = Dingnan United [men; last season 2026; 4 providers: fifa, fotmob, opta, wyscout] (T2a-alias-curname)","v0 reep_t0cbb780b = Heilongjiang Ice City F.C. (T2a, QID Q19839856)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,8015,AD Ramonense,Costa Rica,,both,"v1 rtf6c988e02fc10a = Municipal San Ramón [men; last season 2010; 3 providers: api_football, opta, wyscout] (T2a-alias)","v0 reep_t669fc30d = Asociación Deportiva Ramonense (T2a, QID Q2321569)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,1890,AEK Kouklion,Cyprus,,both,"v1 rt4e5f9ac9daa874 = AE Kouklion [gender blank; last season 2014; 2 providers: opta, wyscout] (T1-alias)","v0 reep_te0a50eb0 = AEK Kouklia F.C. (R6c bare duplicate, QID Q4651316)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,1885,Chalkanoras Idaliou,Cyprus,,both,"v1 rt2c0735855d2405 = Halkanoras [men; last season 2026; 4 providers: api_football, fotmob, opta, wyscout] (T1-alias)","v0 reep_tad505f4c = Chalkanoras Idaliou (T1, QID Q2484236)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,2018,Boldklubben 1909,Denmark,,both,"v1 rtac79bc609f45ab = B 1909 [men; last season 2026; 4 providers: fotmob, opta, uefa, wyscout] (T1-alias)","v0 reep_tf7cd8699 = Boldklubben 1909 (R6c bare duplicate, QID Q654223)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,2035,Hellerup IK,Denmark,,both,"v1 rt53c8cb8388ee5e = HIK [men; last season 2026; 4 providers: api_football, fotmob, opta, wyscout] (T1-alias)","v0 reep_t94ce268f = Hellerup IK (T1, QID Q259454)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,2734,FC Infonet,Estonia,,both,"v1 rte2ecf2e8522ff1 = FCI Tallinn [men; last season 2026; 5 providers: api_football, clubelo, espn, opta, wyscout] (T1)","v0 reep_td5018214 = FC Infonet (T1, QID Q1387188)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,2836,Ekenäs IF,Finland,,both,"v1 rta726bdff3b4ce2 = EIF [men; last season 2026; 6 providers: capology, eafc, fifa, fotmob, opta] (T1-alias)","v0 reep_t166d9811 = Ekenäs IF (T1, QID Q18658729)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,2949,Chamois Niort FC,France,,both,"v1 rt2879f35385d41a = Niort [men; last season 2025; 9 providers: api_football, capology, eafc, fifa, fotmob] (T2a-alias)","v0 reep_t413833e9 = Chamois Niortais F.C. (T2a, QID Q626917)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,3106,Marignane Gignac Côte Bleue,France,,both,"v1 rt5c7ec69a4da578 = Marignane GCB [men; last season 2025; 4 providers: fifa, opta, skillcorner, wyscout] (T2a)","v0 reep_tbb75c6cb = F.C. Côte Bleue (T2a-alt, QID Q109507592)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,223,Gambia Ports Authority,Gambia,,both,"v1 rt3518cccbf60991 = GPA [men; last season 2018; 3 providers: api_football, opta, wyscout] (T1-alias)","v0 reep_t1717e4a0 = Gambia Ports Authority F.C. (T2a, QID Q1492962)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,3280,FC Zestaponi,Georgia,,both,"v1 rtd31c56a1997a3b = Zestafoni [men; last season 2025; 4 providers: api_football, espn, opta, wyscout] (T2a)","v0 reep_t91248451 = FC Zestaponi (T1, QID Q568664)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,3505,Ludwigsfelder FC,Germany,,both,"v1 rt9933e09c2d7af5 = Ludwigsfelde [men; last season 2025; 4 providers: api_football, opta, sportmonks, wyscout] (T1-alias)","v0 reep_t9dbf7625 = Ludwigsfelder FC (T1, QID Q479301)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,3703,Lüneburger SK,Germany,,both,v1 rtd1e0d323ec7838 = Lüneburg [men; last season none; 1 providers: opta] (T1-alias),"v0 reep_tc5ad71a6 = Lüneburger SK (T1, QID Q317934)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,4078,	Újpesti Törekvés SE,Hungary,,both,"v1 rt9ab1909fda1410 = Újpest [men; last season 2026; 9 providers: clubelo, eafc, espn, fifa, fotmob] (T2a)","v0 reep_t38814ae8 = Újpesti Törekvés SE (R1 exact, QID Q20740273)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,4027,Dorogi FC,Hungary,,both,"v1 rt667f727321cdff = Dorog [men; last season 2026; 4 providers: eafc, opta, sportmonks, wyscout] (T1-alias)","v0 reep_tbfe66296 = Dorogi FC (T1, QID Q606773)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,4095,Miskolci VSC,Hungary,,both,"v1 rtc153596d97784a = MVSC [men; last season 2026; 4 providers: api_football, opta, sportmonks, uefa] (T1-alias)","v0 reep_t72240423 = Miskolci VSC (T1, QID Q627958)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,4067,Rakospalotai EAC,Hungary,,both,"v1 rt2592611c3cf9b2 = REAC [men; last season 2026; 4 providers: api_football, opta, sportmonks, wyscout] (T1-alias)","v0 reep_ta8923ae7 = Rákospalotai EAC (T1, QID Q961752)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,755,Mes Sarcheshme,Iran,,both,"v1 rt4db01c0a77bf4c = Mes Sarcheshme [gender blank; last season 2012; 2 providers: opta, wyscout] (T1)","v0 reep_t126925e4 = Shahr Khodro F.C. (T2a-curname, QID Q3660911)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,4257,Hapoel Tayibe,Israel,,both,v1 rt750a4dc5cd12cf = Hap Taibe [gender blank; last season 1999; 1 providers: opta] (T1-alias),"v0 reep_t35cec301 = Hapoel Tayibe F.C. (T2a, QID Q1355817)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,4383,Chievo,Italy,,both,"v1 rt01e296de1caace = Chievo [men; last season 2026; 7 providers: capology, espn, fotmob, opta, skillcorner] (T1)","v0 reep_t7174e98a = AC ChievoVerona (T2a, QID Q2037)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,4724,FC Maktaaral,Kazakhstan,,both,"v1 rt5ac19ea8d522f7 = Maqtaaral [men; last season 2025; 5 providers: api_football, fotmob, opta, sportmonks, wyscout] (T1-alias)","v0 reep_t903778f2 = FC Maktaaral (T1, QID Q18712404)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,4800,FC Tranzīts,Latvia,,both,"v1 rt85c66a6db5c064 = Tranzīts [men; last season 2010; 3 providers: opta, sportmonks, wyscout] (T2a)","v0 reep_t2f81de38 = FC Tranzit (T1, QID Q947818)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,249,Lesotho Correctional Services,Lesotho,,both,"v1 rt69695099ebedb7 = LCS [men; last season 2018; 3 providers: api_football, opta, wyscout] (T1-alias)","v0 reep_tb8bd5ba9 = Lesotho Correctional Services (T1, QID Q4117000)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,250,Lesotho Defence Force,Lesotho,,both,"v1 rt40cbfef9f5d05b = LDF [men; last season 2018; 3 providers: api_football, opta, wyscout] (T1-alias)","v0 reep_t95da8663 = Lesotho Defence Force F.C. (T2a, QID Q15978411)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,4962,SC Steinfort,Luxembourg,,both,"v1 rtd1de2d0338e241 = Stengefort [men; last season 2018; 4 providers: api_football, capology, opta, wyscout] (T2a-alias)","v0 reep_tb824cd16 = SC Steinfort (T1, QID Q389996)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,281,AS Port Louis 2000,Mauritius,,both,"v1 rt24b90f78843cd0 = ASPL 2000 [men; last season 2018; 3 providers: api_football, opta, wyscout] (T1-alias)","v0 reep_t4ea755a3 = AS Port-Louis 2000 (T1, QID Q2270340)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
3 v0/v1 point at differently named records,8142,Chiapas FC,Mexico,,both,"v1 rt778896afe7b8f1 = Jaguares [men; last season 2017; 5 providers: capology, fotmob, opta, sportmonks, wyscout] (T2a-alias)","v0 reep_t8fb0ff91 = Chiapas F.C. (T1, QID Q1426348)",,,,"BOTH if same club under two labels, V1 or V0 if only one is right, NONE if neither"
