country,league,end_year,reep_competition,site_clubs_left,reep_teams_left
England,Conference National,2010,FA Cup,Stevenage Borough,rt2187bca0fbeccb=Blackpool; rt8cad4775187619=Tonbridge Angels; rt3e7253907e106a=Huddersfield Town; rtdb4308cb351fa7=Brentford; rtbaccc9912a7639=Crystal Palace; rtdd0bfd1c1d5cd3=Swindon Town; rtf9a63492117ffa=Bolton Wanderers; rt69be6ba4ff7fc2=Farnborough; rt46274edfcbcb20=Middlesbrough; rtf38678780871c4=Hull City; rt1450baaf88de17=Potters Bar Town; rtdab4709d4d21a6=Bradford (Park Avenue); rt1874a32186f729=Ipswich Town; rt0fdebc0d8d9822=Leyton Orient; rt9a79cf4e54e278=Everton; rt0fcab1a2109ab8=Liverpool; rt86203e9770c489=Blyth Spartans; rtebfbadc8ea5e46=Stoke City; rte77d6dc3f8f40e=Welling United; rtbc67cd7c5a1d66=Coventry City; rtb471f322d5ad96=Sunderland; rtcb5205b7f83a93=Fulham; rteee4b9752bbf6e=Crewe Alexandra; rt97148584aad5f2=Gainsborough Trinity; rte808f92ebe1cdf=Hartlepool United; rt808a786e8acdef=Hendon; rt4029f262a14ccc=Chesterfield; rt743f95f205a576=Radcliffe; rt1de21f73eb0ad5=Slough Town; rt6798653c706b28=Doncaster Rovers; rtc3e59a354d31e3=Scunthorpe United; rtfae00d0226c2fb=MK Dons; rt9420ae803b8a55=Nottingham Forest; rt1766c4f7cb0931=Sheffield United; rt3804c2fe7fac4a=Derby County; rt58bb00ba9fd056=Macclesfield Town; rt8def34e8b830d3=Solihull Moors; rt1e3ecbcd893079=Stockport County; rtcffb6a6bdb89fe=Tottenham Hotspur; rt1312d9fcf853d1=Tranmere Rovers; rt2a5456047d1299=Burscough; rt98756cd7e07239=Dagenham & Redbridge; rt5ab67076de8cc1=Aston Villa; rt0e8068b600de6f=Charlton Athletic; rt754cce2b06b9be=Southend United; rtded56f7d37bbcf=Truro City; rt0c5902dbbf73a7=Alfreton Town; rt37c836a696a159=Manchester City; rtd98724fb99eae6=Hucknall Town; rtd003a103ec98b9=Chelmsford City; rt09d318200a9758=Aldershot Town; rt7d54392335a594=Cheltenham Town; rt411d7e1fcb4344=West Bromwich Albion; rtdf0e3e771377ab=Notts County; rtfbd83761e8d550=Bury; rt4ba241d195a7ef=Southampton; rt552ae84d864dc8=Shrewsbury Town; rt71340d594d0070=Queens Park Rangers; rte92f19e21fa6cd=Sutton United; rt08b4e3c976eaed=Grimsby Town; rtadd92224a6586e=Newport County; rt988c4cc8288a36=Burton Albion; rtd6244594fec7d5=Dorchester Town; rt13f99514be4cfd=Arsenal; rt02448b8ff04e4b=Buxton; rt12377d64a47874=Port Vale; rt00de778fb9da19=Salford City; rt5824386df5113d=Vauxhall Motors; rt365871515258f5=Morecambe; rte57071688ae942=Nuneaton Town; rt251a820a44a222=Stalybridge Celtic; rt341de502cb4144=Woking; rt36a91236357df8=Northwich Victoria; rt9216c37cb92105=Newcastle United; rtf252edf10be6b9=Frickley Athletic; rta170970a629cd7=Stourbridge; rt3985a98fba67c7=Barnsley; rt246c637d2dd80b=Lincoln City; rtc8b890be34f14e=Chesham United; rt7ef3483ecd713e=Paulton Rovers; rt1a84b9552379ea=Walton Casuals; rt4713d15942010a=Walton & Hersham; rt49f0771087c715=Preston North End; rtfe58ce26978314=Ashford Town (Middlesex); rt52e498a1ed138e=Ilkeston; rtc2e3b8facc224e=Dartford; rt63d613341bc69c=West Ham United; rt574840b919db96=Aylesbury Vale Dynamos; rtb3e9f092ec5270=Swansea City; rt0366ee006a2ba2=Mangotsfield United; rte6ffea0f1970a8=Portsmouth; rt0a288b7e200c2a=United of Manchester; rt60cb690406a652=Heybridge Swifts; rtb2b0070019a86e=Coventry Sphinx; rtb24ccf7eaa4402=Guiseley; rt17f85d548dc6fe=Yeovil Town; rt88f22a11642b02=Wealdstone; rte40db967668f5c=Darlington FC; rt72e4e84d336b85=Bedworth United; rtd22234f84172b5=Workington; rteb1bce40b839a3=Reading; rt621d4cb944c554=Bromley; rt0aeaf886f1bbc8=Aveley; rtfbe0b7cb49961d=Bridgwater United; rt79ec4ef3fd9e07=Oxford City; rta2ec360bd8ed7a=Sheffield Wednesday; rtf2fc267c87e2db=Exeter City; rtf9c02b248a3437=Dover Athletic; rt64cd3da63bee27=Bishop's Cleeve; rt42d55695ec02c2=Barnet; rt8269d931a9f7a6=Southport; rtc5beaf5177410e=Peterborough United; rtaea68aff5f69f5=Birmingham City; rta130b6a2602565=Kendal Town; rtb29d3033d0bcfa=Lewes; rta2496d86110a96=Plymouth Argyle; rt6dc1794a66104e=Cardiff City; rt27e91454a0506b=Staines Town; rt96782a4efa5783=Bedford Town; rt980a2925fddeb5=Maidstone United; rt463aeeed54f19a=Bradford City; rt2691f838aa42b7=Hampton & Richmond Borough; rt78f360d6fde57e=Brighton & Hove Albion; rt31c46b8d4bd54c=Gillingham; rt77d4462df05f87=Millwall; rtf83dba7b1ccf31=Rochdale; rt35658eea220dab=Tooting & Mitcham United; rta39ac0ff5e5847=Thurrock; rt6b66f0f7ea5958=Cambridge City; rt5d159d823d3955=Northampton Town; rt85aa78bccbd812=Manchester United; rt9976410531e9e0=Accrington Stanley; rt5c97a5b54ee530=Sutton Coldfield Town; rta0efdec83809b3=AFC Totton; rt5f843031650262=Carlisle United; rt8207c50b498ed3=Burnley; rtb42defac103316=Rotherham United; rt3ab8ef319b0655=Gloucester City; rt9ee99d2095c2a3=Bath City; rt3763d29e7947d8=Chelsea; rta4fc58756b05c1=Bristol Rovers; rtdd8b468937ef95=Leicester City; rtfc419c6db9e06f=Watford; rt9587b13df1ee36=Norwich City; rt664527afc78e20=Cirencester Town; rt689fe25c1c8f7b=Lincoln United; rt8391e79361cddb=Havant & Waterlooville; rt82c6b9d5ff8dcd=Walsall; rtd7ca58fe2d4ec4=Oldham Athletic; rtcfca1c5bc1f889=Torquay United; rt35d1f783b10ae1=Wolverhampton Wanderers; rtcfd734ec2771f7=Eastleigh; rt84087618db2514=Stevenage; rtea2886832cc4f1=Fleetwood Town; rtaaa729d58df286=Colchester United; rt80ad0e6d060156=Redditch United; rt9d41aafaff9426=Chorley; rtfefad66bd29af0=Hinckley United; rt3bdff329d36885=AFC Bournemouth; rted533365eb88c8=Bristol City; rt092efbfc9313f0=Lowestoft Town; rt2145fe635eb37c=AFC Telford United; rte9883d3069878a=Worcester City; rt8e1af5f5dba478=Halifax Town; rt2c7c71d8b367bd=Wycombe Wanderers; rt6adbe0443f8676=Bury Town; rtb40f1898d8eae5=Wigan Athletic; rtc99e47fb14de88=Eastwood Town; rtdbcda165253dc1=Hereford United; rt4cf0dfe4bc34a3=Aylesbury United; rt408930303688f2=Blackburn Rovers; rt2c10fab805c3ea=Leeds United; rt58d52ebf837eca=Chippenham Town; rtb3729e2c2cb838=Basingstoke Town
England,Fourth Division,1988,Fourth Division (1958–1992),Swansea City; Newport County; Cardiff City,rt08b4e3c976eaed=Grimsby Town; rt246c637d2dd80b=Lincoln City; rt6798653c706b28=Doncaster Rovers; rtee9033b127b2f2=York City; rtb42defac103316=Rotherham United
France,Championnat National,2005,National 1,Croix-de-Savoie,rt8663746add9569=Racing Besançon; rt3b98c3b3980644=Evian TG
France,Championnat National,2006,National 1,Croix-de-Savoie,rt3b98c3b3980644=Evian TG
France,Championnat National,2009,National 1,Croix-de-Savoie,rt2541f106e69e02=Cassis-Carnoux; rt3b98c3b3980644=Evian TG
France,Championnat National,2011,National 1,Alfortville UJA,rtb3e05d38316e3f=Maccabi Paris UJA
France,Division 2,1995,Ligue 2,Perpignan FC,rtb9874df7deb483=Canet Roussillon
France,Division 2,1996,Ligue 2,Perpignan FC,rtb9874df7deb483=Canet Roussillon
France,Division 2,1997,Ligue 2,Perpignan FC,rtb9874df7deb483=Canet Roussillon
Georgia,Umaghlesi Liga,1990,Erovnuli Liga,Odishi Zugdidi,rte65550f52a796b=Tskhinvali
Georgia,Umaghlesi Liga,1992,Erovnuli Liga,FC Batumi; Iberia-Dinamo Tbilisi; Odishi Zugdidi; FC Mretebi Tbilisi,rt169b71d59784b4=Dinamo Batumi; rt7bf0aa2bd05477=Dinamo Tbilisi
Georgia,Umaghlesi Liga,1993,Erovnuli Liga,Odishi Zugdidi; FC Mretebi Tbilisi,rtd64962c4461f5e=Mziuri; rtff3b7666d614b0=Amirani; rt0501a29ee3bf63=Kolkheti Khobi
Georgia,Umaghlesi Liga,1994,Erovnuli Liga,Odishi Zugdidi; FC Mretebi Tbilisi,rtd64962c4461f5e=Mziuri; rtff3b7666d614b0=Amirani; rt59d5c3fc532317=Tskhumi
Georgia,Umaghlesi Liga,2000,Erovnuli Liga,TSU Tbilisi; Merani-91 Tbilisi; Arsenali Tbilisi,rt0611ce70c2cac9=Merani Tbilisi
Greece,Beta Ethniki,2007,Cup,Ilissiakos FC,rt6441d9ddbb4f99=AE Giannina; rt1cd7373e4f17ac=Olympiakos Piraeus; rt583872f2691b7d=Egaleo; rt481e7dea7730d3=OFI; rtb12af3519b2d03=Anagennisi Artas; rtdb8bd831883dd9=Atsalenios; rt07150f7f87f37d=OF Ierapetra; rt9c4afd196438e6=Ergotelis; rtf5b903d9bf2d90=Larissa; rt8116e96de3385e=Xanthi; rtc7feb5388a1bd7=Panathinaikos; rt7481292e170278=Diagoras; rt573ed5447bf360=Tiva; rt7720ceb8398577=Thermaikos Thermis; rt064457ebcc5b48=Iraklis Thessaloniki; rt35a3d06b069b80=Vyzas; rt7ff5f87ee5b955=Pierikos; rt98f2df50fa5093=Panaitolikos; rt407080feef61f6=PAOK; rt5924436fb276c4=Ionikos; rt6886366fe852b3=AEK Athens; rtc9040d0c3dfe29=Apollon Kalamarias; rt0f9f1b800bed85=Panionios; rt669d4fa00f59fb=Kerkyra; rt99553295b70ff6=Atromitos; rt03d982fca5fedc=Paniliakos; rtc58143135f7823=Olympiakos Volos; rtada741d00ebddf=Thyella Patras; rtb70c91ee1d81f8=Aharnaikos; rt05bcd93e9a3226=Apollon Smirnis; rt89b54f47c8395a=Eolikos M.; rt8e31f9bb3d43f4=Aris; rt21f02cef971a7b=Pao Neon Epivaton; rt3242c86779d830=Ilisiakos; rt9ebbfbd7441f6e=Aiolikos
Greece,Beta Ethniki,2008,Cup,Ilissiakos FC; Panthrakikos FC,rt1cd7373e4f17ac=Olympiakos Piraeus; rt42225ff77f984f=Veria; rt481e7dea7730d3=OFI; rtcc013d94cbe1ac=Asteras Tripolis; rt9c4afd196438e6=Ergotelis; rtb1014f2a803741=Messiniakos Kalamata; rtf5b903d9bf2d90=Larissa; rt8116e96de3385e=Xanthi; rtc7feb5388a1bd7=Panathinaikos; rt7481292e170278=Diagoras; rtcc57da837005e3=Fostiras; rt6e5624c55f5fea=ASK Olympiakos Volos; rt064457ebcc5b48=Iraklis Thessaloniki; rte3ba488adf3a3c=Ilioupoli; rt407080feef61f6=PAOK; rte0b26727037687=Ethnikos Katerini; rt6886366fe852b3=AEK Athens; rt3ef120298dbc4a=Levadiakos; rt0f9f1b800bed85=Panionios; rtc9040d0c3dfe29=Apollon Kalamarias; rt625ce273904eac=Preveza; rt99553295b70ff6=Atromitos; rt8e31f9bb3d43f4=Aris
Greece,Beta Ethniki,2009,Cup,Ilissiakos FC,rt1cd7373e4f17ac=Olympiakos Piraeus; rt40db1eedd7a243=Zakynthos; rt481e7dea7730d3=OFI; rtcc013d94cbe1ac=Asteras Tripolis; rt9c4afd196438e6=Ergotelis; rta86d44bd39f3d7=Panthrakikos; rtf5b903d9bf2d90=Larissa; rt8116e96de3385e=Xanthi; rtc7feb5388a1bd7=Panathinaikos; rt44329604c5f61d=Panserraikos; rt064457ebcc5b48=Iraklis Thessaloniki; rt98f2df50fa5093=Panaitolikos; rt407080feef61f6=PAOK; rt6886366fe852b3=AEK Athens; rt3ef120298dbc4a=Levadiakos; rt0f9f1b800bed85=Panionios; rt16eda065e29e17=Makedonikos Neapolis; rt9d9d8061fdb4ac=Thrasyvoulos; rtc15f4a936fb175=Lamia; rt8e31f9bb3d43f4=Aris; rt3242c86779d830=Ilisiakos
Greece,Greek Football League,2015,Cup,AEL 1964,rt1cd7373e4f17ac=Olympiakos Piraeus; rt93272a0aaff3be=Kalloni; rt42225ff77f984f=Veria; rt481e7dea7730d3=OFI; rtcc013d94cbe1ac=Asteras Tripolis; rt9c4afd196438e6=Ergotelis; rta86d44bd39f3d7=Panthrakikos; rtf5b903d9bf2d90=Larissa; rt8116e96de3385e=Xanthi; rtc7feb5388a1bd7=Panathinaikos; rt98f2df50fa5093=Panaitolikos; rt407080feef61f6=PAOK; rt3007c88b5586fc=Platanias; rt3ef120298dbc4a=Levadiakos; rt0f9f1b800bed85=Panionios; rt669d4fa00f59fb=Kerkyra; rtcab4bae58af81c=Niki Volos; rt2778ac1b987f3a=Doxa Dramas; rt99553295b70ff6=Atromitos; rt8e31f9bb3d43f4=Aris; rtb860414713bb75=PAS Giannina
Greece,Greek Football League,2016,Cup,AEL 1964,rt1cd7373e4f17ac=Olympiakos Piraeus; rt93272a0aaff3be=Kalloni; rt42225ff77f984f=Veria; rtcc013d94cbe1ac=Asteras Tripolis; rta86d44bd39f3d7=Panthrakikos; rtf5b903d9bf2d90=Larissa; rt8116e96de3385e=Xanthi; rtc7feb5388a1bd7=Panathinaikos; rt064457ebcc5b48=Iraklis Thessaloniki; rt98f2df50fa5093=Panaitolikos; rt407080feef61f6=PAOK; rt3007c88b5586fc=Platanias; rt6886366fe852b3=AEK Athens; rt3ef120298dbc4a=Levadiakos; rt0f9f1b800bed85=Panionios; rt99553295b70ff6=Atromitos; rtb860414713bb75=PAS Giannina; rte0aa2a3ed839d1=Chania
Greece,Greek Super League 2,2023,Super League 2,AEL 1964,rte0aa2a3ed839d1=Chania; rt16eda065e29e17=Makedonikos Neapolis; rtbf962cf714bb2b=Iraklis Larissa; rtf5b903d9bf2d90=Larissa
Hungary,NB I,1999,NB I,Zalahús ZTE FC,rt645072029be527=Zalaegerszeg
Hungary,NB I,2013,NB I,Egri FC,rt5efddfe2268822=Eger
Hungary,NB I,2019,NB I,MOL Vidi FC,rt9065886c9593fe=Fehérvár
Iran,Persian Gulf Pro League,2014,Persian Gulf Pro League,Gostaresh Foulad,rt07c3ba20ece8ce=Shahre Baran; rtd1e9c4d76b8399=Machine Sazi
Iran,Persian Gulf Pro League,2015,Persian Gulf Pro League,Gostaresh Foulad,rtd1e9c4d76b8399=Machine Sazi
Iran,Persian Gulf Pro League,2016,Persian Gulf Pro League,Gostaresh Foulad,rtd1e9c4d76b8399=Machine Sazi
Iran,Persian Gulf Pro League,2017,Persian Gulf Pro League,Gostaresh Foulad,rt5958ef3c83c964=Machine Sazi Tabriz
Iran,Persian Gulf Pro League,2018,Persian Gulf Pro League,Gostaresh Foulad,rtd1e9c4d76b8399=Machine Sazi
Ireland,League of Ireland,2016,Premier Division,Wexford Youths,rtdfbb0807f397e2=Wexford
Israel,Liga Leumit,2012,Liga Leumit,Hapoel Nazareth Illit,rt3a645f409f25b7=Hapoel Nof HaGalil; rt44fae0f5818ac2=Hapoel Jerusalem (1943)
Italy,Lega Pro Prima Divisione A,2009,Serie C,Portosummaga,rte00fdb39ff67d2=Portogruaro; rt2e5ef2a8d7d57c=Sorrento; rt53781d85c54a38=Virtus Lanciano; rt4ec0885a847dc3=Crotone; rt9c055becf0182d=Perugia; rte5823f3af83902=Taranto; rte7e155aed7c764=Pescara; rtef227bd051d76f=Ternana; rt977f795b849f5e=Foligno; rtc6e37c773055d9=Foggia; rt1baaaf4100b4a0=Benevento; rt6379412429b8ed=Gallipoli; rteefd1cb8eedc90=Pergolettese; rtaa1c8ee46161ec=Real Marcianise; rt1370fcc263d9a1=Arezzo; rt0a0f38a1ce748c=Pistoiese; rte483aae3582664=Paganese; rtcd397b22724b6d=Juve Stabia; rtcbbddf28751ae8=Cavese 1919; rt092da66f91bc32=Potenza
Italy,Lega Pro Prima Divisione A,2013,Serie C,Portosummaga,rte00fdb39ff67d2=Portogruaro; rtf3632c98e381de=Frosinone; rt2e5ef2a8d7d57c=Sorrento; rt713e735e5b2578=Carpi; rt06c08e3630130f=Latina; rt9c055becf0182d=Perugia; rt97e24e1af7b2ba=Avellino; rt9417ab1680dda2=Andria BAT; rt260baebe99d192=Carrarese; rt3b22831f4a4197=Barletta; rt1baaaf4100b4a0=Benevento; rt71f04efaea5b0e=Nocerina; rte483aae3582664=Paganese; rt42dbf80f0009f8=Prato; rt45a2f48de3fe3e=Gubbio; rt4e23a0392da15c=Catanzaro; rtc13402e089ae2d=Viareggio; rtfeb31aad057acc=Pisa
Italy,Lega Pro Prima Divisione B,2010,Serie C,Portosummaga,rte00fdb39ff67d2=Portogruaro; rt92846cee69557a=Monza; rt2e5ef2a8d7d57c=Sorrento; rt9c055becf0182d=Perugia; rtb3689331e03ba1=Figline; rt89c7d334fd449b=Lumezzane; rt6c7bda7c24393f=Varese; rt977f795b849f5e=Foligno; rt1baaaf4100b4a0=Benevento; rteefd1cb8eedc90=Pergolettese; rt2be91c9b483a69=Cremonese; rt9ffea5a71797f3=Como; rtaeb0dcac1b5336=Lecco; rt90a6cc5bdb0c0c=Pro Patria; rt1370fcc263d9a1=Arezzo; rte483aae3582664=Paganese; rt1097645dc40940=Novara; rt444a5e80f9a2fd=Alessandria; rtc13402e089ae2d=Viareggio
Italy,Lega Pro Prima Divisione B,2012,Serie C,Portosummaga,rte00fdb39ff67d2=Portogruaro; rt92846cee69557a=Monza; rt2e5ef2a8d7d57c=Sorrento; rt9e9b84de504943=Reggiana; rt713e735e5b2578=Carpi; rt5dc136f73637cd=Pavia; rte5823f3af83902=Taranto; rt97e24e1af7b2ba=Avellino; rt89c7d334fd449b=Lumezzane; rt09dddf9a64bf53=Pro Vercelli; rt977f795b849f5e=Foligno; rtef227bd051d76f=Ternana; rtc6e37c773055d9=Foggia; rt1baaaf4100b4a0=Benevento; rtaea3784b040a2e=Ars et Labor; rteefd1cb8eedc90=Pergolettese; rt9ffea5a71797f3=Como; rt38e291b7cc87b9=Tritium; rtc13402e089ae2d=Viareggio; rtfeb31aad057acc=Pisa
Italy,Serie B,2011,Serie B,Portosummaga,rte00fdb39ff67d2=Portogruaro; rta9842637bd1c92=Padova
Italy,Serie C Group A,2026,Serie C,Union Brescia,rt6a4ba9bfbab8dd=Pontedera; rt2e5ef2a8d7d57c=Sorrento; rt06c08e3630130f=Latina; rt4ec0885a847dc3=Crotone; rtcc71056e4ad49f=Juventus Next Gen; rt61f898c5ef3d7e=Siracusa; rt23e417b5142961=AC Carpi; rt9c055becf0182d=Perugia; rt8d28fcea66e2da=Audace Cerignola; rte7e846e475fa8e=Monopoli; rtef60f62c73e8d1=Pianese; rt7129ab8c628e43=Picerno; rt1ec458c0a5f6cd=Forlì; rta4c2a4ef7ecc4e=Guidonia Montecelio 1937; rtef227bd051d76f=Ternana; rt7eb200caa66b8e=Campobasso; rt8675aee190b9e3=Atalanta II; rtc6e37c773055d9=Foggia; rt72e1d84e64df83=Salernitana; rt1baaaf4100b4a0=Benevento; rt14827056f83492=Casarano; rt6daba2c6803518=Sambenedettese; rt3a70e0dc9851dd=Ascoli; rt685b2a04482977=Cosenza; rtce466b52c7b875=Rimini; rt8214c7bf5182d1=Pineto; rt1370fcc263d9a1=Arezzo; rt32751100384519=Bra; rt53f3af91e3dad6=Ravenna; rt1fec722b90d59e=Vis Pesaro; rtbcf35bb8f5aa30=Torres; rt799105583127a6=Livorno; rtcbbddf28751ae8=Cavese 1919; rtad9ef17e0224a2=Casertana; rt092da66f91bc32=Potenza; rt45a2f48de3fe3e=Gubbio; rt8bfa92751cd7b2=Catania; rte464dbce63934e=ASD Team Altamura; rt45e4b29ef1f9aa=Giugliano; rt18b9c8cac99e45=Trapani
Italy,Serie C Group B,2025,Serie C,Milan Futuro,rt2e5ef2a8d7d57c=Sorrento; rt925742e4f26828=Padova; rt06c08e3630130f=Latina; rtcc71056e4ad49f=Juventus Next Gen; rt4ec0885a847dc3=Crotone; rt8d28fcea66e2da=Audace Cerignola; rte7e846e475fa8e=Monopoli; rte5823f3af83902=Taranto; rt7129ab8c628e43=Picerno; rt97e24e1af7b2ba=Avellino; rte1015ce5c86b2c=Turris; rt89c7d334fd449b=Lumezzane; rtc2cca88444ad27=Union Clodiense; rtc9a3d344a483dd=Renate; rte76c202c5d5fbe=Virtus Verona; rt6ffa757a5120fa=Milan II; rt09dddf9a64bf53=Pro Vercelli; rt3e37c53705327a=Arzignano Valchiampo; rt981598be794984=Union Clodiense Chioggia; rt8675aee190b9e3=Atalanta II; rt491e40ae587acd=Giana Erminio; rtc6e37c773055d9=Foggia; rt1baaaf4100b4a0=Benevento; rtc25c80bb17f843=Triestina; rt729ac7c6a7587c=Alcione Milano; rteefd1cb8eedc90=Pergolettese; rt2ef42ab6e52da5=Messina; rtaeb0dcac1b5336=Lecco; rt7e1b172a191d45=AlbinoLeffe; rt031bb96f240530=FeralpiSalò; rt90a6cc5bdb0c0c=Pro Patria; rt44e5afb1965adc=Caldiero Terme; rt1097645dc40940=Novara; rtcbbddf28751ae8=Cavese 1919; rt41ec6e598a9854=Trento; rta0abb7dfab6dda=Vicenza; rtad9ef17e0224a2=Casertana; rt092da66f91bc32=Potenza; rt8bfa92751cd7b2=Catania; rte464dbce63934e=ASD Team Altamura; rt45e4b29ef1f9aa=Giugliano; rt18b9c8cac99e45=Trapani
Italy,Serie C Group C,2022,Serie C,Monterosi FC,rt6a4ba9bfbab8dd=Pontedera; rtc051b80066a007=Legnago Salus; rt4626000cbdc8b3=Città di Teramo; rt5175f60221119c=Olbia; rtc0c514151de8d2=Fiorenzuola; rt4e1f769526247a=Modena; rt9e9b84de504943=Reggiana; rt25c7f37c4b0373=Südtirol; rt925742e4f26828=Padova; rtcc71056e4ad49f=Juventus Next Gen; rt98ad2768223fbd=Seregno; rt6a7fe1c2e2563a=Imolese; rta4c2a4ef7ecc4e=Guidonia Montecelio 1937; rt9417ab1680dda2=Andria BAT; rte7e155aed7c764=Pescara; rtc9a3d344a483dd=Renate; rte76c202c5d5fbe=Virtus Verona; rt09dddf9a64bf53=Pro Vercelli; rt260baebe99d192=Carrarese; rt73506429b6bdb6=Virtus Entella; rt7f89d7b92f6ef9=Lucchese; rt491e40ae587acd=Giana Erminio; rtc25c80bb17f843=Triestina; rta7a6f53f0a959f=Siena; rtdf6d8d1300aa52=Grosseto; rteefd1cb8eedc90=Pergolettese; rtc5b5395886f2a9=Aquila Montevarchi; rtaeb0dcac1b5336=Lecco; rt1c924e3fb9997f=Ancona; rt7e1b172a191d45=AlbinoLeffe; rt031bb96f240530=FeralpiSalò; rt9c1e375c707af1=Mantova; rt90a6cc5bdb0c0c=Pro Patria; rt0a0f38a1ce748c=Pistoiese; rt36b334ff505676=Viterbese; rt5b2a55de7555d0=Cesena; rt1dc8cbe8fd83c1=Fermana; rt1fec722b90d59e=Vis Pesaro; rt2455a9792d0899=Piacenza; rt45a2f48de3fe3e=Gubbio; rt4ca4e1c85181a9=Pro Sesto; rt41ec6e598a9854=Trento
Italy,Serie C Group C,2023,Serie C,Monterosi FC,rt6a4ba9bfbab8dd=Pontedera; rt5175f60221119c=Olbia; rtc0c514151de8d2=Fiorenzuola; rt586062625f5520=Recanatese; rt9e9b84de504943=Reggiana; rte8d6a922cad13a=Sangiuliano City; rt925742e4f26828=Padova; rtcc71056e4ad49f=Juventus Next Gen; rt6a7fe1c2e2563a=Imolese; rta4c2a4ef7ecc4e=Guidonia Montecelio 1937; rt9417ab1680dda2=Andria BAT; rtc9a3d344a483dd=Renate; rte76c202c5d5fbe=Virtus Verona; rt09dddf9a64bf53=Pro Vercelli; rt3e37c53705327a=Arzignano Valchiampo; rt260baebe99d192=Carrarese; rt73506429b6bdb6=Virtus Entella; rt7f89d7b92f6ef9=Lucchese; rtc25c80bb17f843=Triestina; rtd2bfcbd332d761=San Donato Tavarnelle; rta7a6f53f0a959f=Siena; rteefd1cb8eedc90=Pergolettese; rt7b7d20ebe57bec=Pordenone; rtc5b5395886f2a9=Aquila Montevarchi; rtaeb0dcac1b5336=Lecco; rt1c924e3fb9997f=Ancona; rt7e1b172a191d45=AlbinoLeffe; rtce466b52c7b875=Rimini; rt031bb96f240530=FeralpiSalò; rt9c1e375c707af1=Mantova; rt90a6cc5bdb0c0c=Pro Patria; rt5b2a55de7555d0=Cesena; rt1dc8cbe8fd83c1=Fermana; rt1097645dc40940=Novara; rt1fec722b90d59e=Vis Pesaro; rtbcf35bb8f5aa30=Torres; rta0abb7dfab6dda=Vicenza; rt2455a9792d0899=Piacenza; rt444a5e80f9a2fd=Alessandria; rt45a2f48de3fe3e=Gubbio; rt4ca4e1c85181a9=Pro Sesto; rt41ec6e598a9854=Trento
Italy,Serie C Group C,2024,Serie C,Monterosi FC,rt6a4ba9bfbab8dd=Pontedera; rtc051b80066a007=Legnago Salus; rt5175f60221119c=Olbia; rtc0c514151de8d2=Fiorenzuola; rt586062625f5520=Recanatese; rt925742e4f26828=Padova; rtcc71056e4ad49f=Juventus Next Gen; rt9c055becf0182d=Perugia; rta4c2a4ef7ecc4e=Guidonia Montecelio 1937; rt89c7d334fd449b=Lumezzane; rte7e155aed7c764=Pescara; rtc9a3d344a483dd=Renate; rte76c202c5d5fbe=Virtus Verona; rt09dddf9a64bf53=Pro Vercelli; rt3e37c53705327a=Arzignano Valchiampo; rt260baebe99d192=Carrarese; rt73506429b6bdb6=Virtus Entella; rt7f89d7b92f6ef9=Lucchese; rt8675aee190b9e3=Atalanta II; rt491e40ae587acd=Giana Erminio; rtc25c80bb17f843=Triestina; rtaea3784b040a2e=Ars et Labor; rteefd1cb8eedc90=Pergolettese; rt1c924e3fb9997f=Ancona; rt7e1b172a191d45=AlbinoLeffe; rtce466b52c7b875=Rimini; rt8214c7bf5182d1=Pineto; rt9c1e375c707af1=Mantova; rt90a6cc5bdb0c0c=Pro Patria; rt1370fcc263d9a1=Arezzo; rt5b2a55de7555d0=Cesena; rt1dc8cbe8fd83c1=Fermana; rt1097645dc40940=Novara; rt1fec722b90d59e=Vis Pesaro; rtbcf35bb8f5aa30=Torres; rta0abb7dfab6dda=Vicenza; rt9700137944c345=Sestri Levante; rt444a5e80f9a2fd=Alessandria; rt45a2f48de3fe3e=Gubbio; rt4ca4e1c85181a9=Pro Sesto; rt41ec6e598a9854=Trento
Italy,Serie C1 Girone A,2000,Serie C,AC San Donà,rt928d0f6950c9a2=Sandonà; rt4ec0885a847dc3=Crotone; rt97e24e1af7b2ba=Avellino; rt9417ab1680dda2=Andria BAT; rt1baaaf4100b4a0=Benevento; rt64cd1ad55b0238=Palermo; rtd1f5cc8336797c=AC Ancona; rt71f04efaea5b0e=Nocerina; rt097ecc7a2b802b=Cisco Lodigiani; rt8a7ec7bef667c3=Marsala; rt3a70e0dc9851dd=Ascoli; rt57933fe790f6af=Gualdo; rt1370fcc263d9a1=Arezzo; rt36b334ff505676=Viterbese; rt1238174b84703d=Castel di Sangro; rtcd397b22724b6d=Juve Stabia; rt9feddc1fcc6c8e=Giulianova; rt8bfa92751cd7b2=Catania
